,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
original_shape_Elongation,0.9917266969658367,0.99,0.99,0.9917266958032879,0.99,0.99,0.9917209822583615,0.99,0.99,0.9997965701338705,1.0,1.0,0.9997965701050523,1.0,1.0,0.999796428472361,1.0,1.0
original_shape_Flatness,0.9974769770743325,1.0,1.0,0.9974769770466481,1.0,1.0,0.9974765283009785,1.0,1.0,0.9999383110088971,1.0,1.0,0.9999383110082186,1.0,1.0,0.9999383000091158,1.0,1.0
original_shape_LeastAxisLength,0.9994872884261037,1.0,1.0,0.9994872884255571,1.0,1.0,0.9994872447581559,1.0,1.0,0.9999874885813692,1.0,1.0,0.9999874885813559,1.0,1.0,0.9999874875152309,1.0,1.0
original_shape_MajorAxisLength,0.9965263824358344,1.0,1.0,0.9965263823476436,1.0,1.0,0.9965253450257971,1.0,1.0,0.9999149895288098,1.0,1.0,0.9999149895266441,1.0,1.0,0.999914964053728,1.0,1.0
original_shape_Maximum2DDiameterColumn,0.7533814073962151,0.72,0.78,0.7533821698582677,0.72,0.78,0.7534776793792914,0.72,0.78,0.9920791211653952,0.99,0.99,0.9920791534129489,0.99,0.99,0.9920831923910371,0.99,0.99
original_shape_Maximum2DDiameterRow,0.9661092350171291,0.96,0.97,0.9661094726717048,0.96,0.97,0.9663873159447284,0.96,0.97,0.9991451304309992,1.0,1.0,0.9991451366306455,1.0,1.0,0.9991523826380804,1.0,1.0
original_shape_Maximum2DDiameterSlice,0.9923801912594158,0.99,0.99,0.9923802068976657,0.99,0.99,0.9924637176836317,0.99,0.99,0.9998127590647515,1.0,1.0,0.9998127594519073,1.0,1.0,0.9998148267553578,1.0,1.0
original_shape_Maximum3DDiameter,0.9975266426356749,1.0,1.0,0.9975266443819297,1.0,1.0,0.9975555206906638,1.0,1.0,0.9999395282904817,1.0,1.0,0.9999395283332797,1.0,1.0,0.9999402360248448,1.0,1.0
original_shape_MeshVolume,0.9996868148245233,1.0,1.0,0.999686814826281,1.0,1.0,0.999687044833979,1.0,1.0,0.9999923590025034,1.0,1.0,0.9999923590025462,1.0,1.0,0.9999923646159187,1.0,1.0
original_shape_MinorAxisLength,0.9985258199886605,1.0,1.0,0.9985258200775803,1.0,1.0,0.9985282894788945,1.0,1.0,0.9999639926032508,1.0,1.0,0.9999639926054258,1.0,1.0,0.9999640530082013,1.0,1.0
original_shape_Sphericity,0.9381795406146655,0.93,0.95,0.9381933141451321,0.93,0.95,0.9468424882786215,0.94,0.95,0.9983954066511349,1.0,1.0,0.9983957870931206,1.0,1.0,0.9986325584556522,1.0,1.0
original_shape_SurfaceArea,0.9957525843154816,1.0,1.0,0.9957526358366535,0.99,1.0,0.9962481000946062,1.0,1.0,0.9998959734280917,1.0,1.0,0.999895974695185,1.0,1.0,0.9999081540542145,1.0,1.0
original_shape_SurfaceVolumeRatio,0.9952506031701277,0.99,1.0,0.9952506641640709,0.99,1.0,0.9957749804150313,1.0,1.0,0.9998836218078403,1.0,1.0,0.9998836233093801,1.0,1.0,0.9998965242177259,1.0,1.0
original_shape_VoxelVolume,0.9996874929568063,1.0,1.0,0.9996874929586009,1.0,1.0,0.9996877283478508,1.0,1.0,0.9999923755524163,1.0,1.0,0.99999237555246,1.0,1.0,0.9999923812971624,1.0,1.0
original_firstorder_10Percentile,0.9969656432395364,1.0,1.0,0.9969656445383397,1.0,1.0,0.9969831409274839,1.0,1.0,0.9999257715564966,1.0,1.0,0.9999257715883632,1.0,1.0,0.9999262008600802,1.0,1.0
original_firstorder_90Percentile,0.9999189942670978,1.0,1.0,0.9999189942670994,1.0,1.0,0.9999189949537908,1.0,1.0,0.9999980240942612,1.0,1.0,0.9999980240942614,1.0,1.0,0.9999980241110126,1.0,1.0
original_firstorder_Energy,0.9999280672952834,1.0,1.0,0.9999280672957686,1.0,1.0,0.9999283437637831,1.0,1.0,0.9999982454206541,1.0,1.0,0.999998245420666,1.0,1.0,0.9999982521647329,1.0,1.0
original_firstorder_Entropy,0.8746696155590462,0.86,0.89,0.8746770653897017,0.86,0.89,0.8768139513076476,0.86,0.89,0.9965173219625998,1.0,1.0,0.9965175578151475,1.0,1.0,0.9965850481545077,1.0,1.0
original_firstorder_InterquartileRange,0.9994101785970202,1.0,1.0,0.99941017860013,1.0,1.0,0.9994103946412253,1.0,1.0,0.9999856058292053,1.0,1.0,0.9999856058292812,1.0,1.0,0.9999856111046447,1.0,1.0
