,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
original_shape_Elongation,0.9745706116218007,0.97,0.98,0.9745706242597306,0.97,0.98,0.9745904827420186,0.97,0.98,0.9993639921961857,1.0,1.0,0.9993639925203108,1.0,1.0,0.9993645018210787,1.0,1.0
original_shape_Flatness,0.9832345367779216,0.98,0.99,0.9832345740288391,0.98,0.99,0.9833241521563745,0.98,0.99,0.9995842866265112,1.0,1.0,0.9995842875655373,1.0,1.0,0.9995865454623902,1.0,1.0
original_shape_LeastAxisLength,0.9617921411537504,0.96,0.97,0.9617921540440519,0.96,0.97,0.9618054580206101,0.96,0.97,0.9990320185667071,1.0,1.0,0.9990320189059223,1.0,1.0,0.9990323690027008,1.0,1.0
original_shape_MajorAxisLength,0.9984387869519757,1.0,1.0,0.9984387871727449,1.0,1.0,0.9984445759150741,1.0,1.0,0.9999618635460195,1.0,1.0,0.9999618635514205,1.0,1.0,0.9999620051705405,1.0,1.0
original_shape_Maximum2DDiameterColumn,0.7010157638105264,0.67,0.74,0.701014321439407,0.67,0.74,0.7008756926017129,0.67,0.74,0.9897046231262169,0.99,0.99,0.9897045530049662,0.99,0.99,0.9896978122271132,0.99,0.99
original_shape_Maximum2DDiameterRow,0.9061640615804281,0.89,0.92,0.9061647148603156,0.89,0.92,0.9064234438380877,0.89,0.92,0.9974806819149488,1.0,1.0,0.9974807012217554,1.0,1.0,0.9974883454786064,1.0,1.0
original_shape_Maximum2DDiameterSlice,0.9948356971815359,0.99,1.0,0.9948357200356873,0.99,1.0,0.9950162575402474,0.99,1.0,0.9998734035582219,1.0,1.0,0.9998734041212999,1.0,1.0,0.9998778513964138,1.0,1.0
original_shape_Maximum3DDiameter,0.9973555307592539,1.0,1.0,0.9973555357419003,1.0,1.0,0.9974325886373473,1.0,1.0,0.9999353339136635,1.0,1.0,0.9999353340358211,1.0,1.0,0.9999372229672845,1.0,1.0
original_shape_MeshVolume,0.9878881654017282,0.99,0.99,0.9878881646251296,0.99,0.99,0.9878855675941725,0.99,0.99,0.999701056962358,1.0,1.0,0.9997010569429609,1.0,1.0,0.9997009920766616,1.0,1.0
original_shape_MinorAxisLength,0.9519631604480274,0.94,0.96,0.9519631189097207,0.94,0.96,0.951929369751343,0.94,0.96,0.9987707612350004,1.0,1.0,0.9987707601197912,1.0,1.0,0.998769854000272,1.0,1.0
original_shape_Sphericity,0.8841493231709838,0.87,0.9,0.8841950367941934,0.87,0.9,0.8987349752660294,0.88,0.91,0.9968143110851981,1.0,1.0,0.9968157282398358,1.0,1.0,0.9972593593550788,1.0,1.0
original_shape_SurfaceArea,0.9847389436914116,0.98,0.99,0.9847393989238715,0.98,0.99,0.9859452266682323,0.98,0.99,0.9996221534188631,1.0,1.0,0.9996221648602501,1.0,1.0,0.9996524348460972,1.0,1.0
original_shape_SurfaceVolumeRatio,0.9310116627453151,0.92,0.94,0.9310237435611698,0.92,0.94,0.9377565253378026,0.93,0.95,0.9981959336914213,1.0,1.0,0.998196272401617,1.0,1.0,0.9983837171438449,1.0,1.0
original_shape_VoxelVolume,0.9879388257137711,0.99,0.99,0.9879388247988339,0.99,0.99,0.9879357521407064,0.99,0.99,0.999702322243455,1.0,1.0,0.9997023222206051,1.0,1.0,0.9997022454821594,1.0,1.0
original_firstorder_10Percentile,0.9802993773654347,0.98,0.98,0.9802994222278345,0.98,0.98,0.9803909569149581,0.98,0.98,0.9995100807013778,1.0,1.0,0.9995100818388888,1.0,1.0,0.9995124025397739,1.0,1.0
original_firstorder_90Percentile,0.9961520090677065,1.0,1.0,0.9961520092759397,1.0,1.0,0.9961542194489683,1.0,1.0,0.9999057928962064,1.0,1.0,0.9999057929013234,1.0,1.0,0.9999058472149018,1.0,1.0
original_firstorder_Energy,0.9950921839223624,0.99,1.0,0.995092184633663,0.99,1.0,0.9950980977255711,0.99,1.0,0.9998797212606129,1.0,1.0,0.999879721278129,1.0,1.0,0.9998798668901216,1.0,1.0
original_firstorder_Entropy,0.9032324871931043,0.89,0.92,0.9032327912879629,0.89,0.92,0.9033491821838596,0.89,0.92,0.997393769498967,1.0,1.0,0.9973937785429405,1.0,1.0,0.9973972396467033,1.0,1.0
original_firstorder_InterquartileRange,0.9872190647009368,0.99,0.99,0.9872190648837653,0.99,0.99,0.9872196438843831,0.99,0.99,0.9996843337636888,1.0,1.0,0.9996843337682614,1.0,1.0,0.9996843482490971,1.0,1.0
original_firstorder_Kurtosis,0.9614194392362767,0.96,0.97,0.9614195127185822,0.96,0.97,0.9614945962935391,0.96,0.97,0.9990222070037064,1.0,1.0,0.9990222089388953,1.0,1.0,0.9990241861473157,1.0,1.0
original_firstorder_Maximum,0.9349727317151457,0.92,0.94,0.934973040348512,0.92,0.94,0.9351550166483429,0.92,0.94,0.9983065334530734,1.0,1.0,0.9983065420350794,1.0,1.0,0.998311601193888,1.0,1.0
original_firstorder_MeanAbsoluteDeviation,0.9888257769982528,0.99,0.99,0.9888257773670129,0.99,0.99,0.9888271152892179,0.99,0.99,0.9997244540616527,1.0,1.0,0.9997244540708462,1.0,1.0,0.9997244874263499,1.0,1.0
original_firstorder_Mean,0.9955865708773243,0.99,1.0,0.9955865730474301,0.99,1.0,0.9956066443904209,0.99,1.0,0.9998918898884079,1.0,1.0,0.9998918899417961,1.0,1.0,0.9998923837201696,1.0,1.0
original_firstorder_Median,0.9964188545746206,1.0,1.0,0.9964188559832486,1.0,1.0,0.996434925658976,1.0,1.0,0.9999123487536641,1.0,1.0,0.9999123487882622,1.0,1.0,0.9999127434785255,1.0,1.0
original_firstorder_Minimum,0.8724661118177455,0.85,0.89,0.872467285652978,0.85,0.89,0.87279665142763,0.85,0.89,0.9964473898651186,1.0,1.0,0.996447427210279,1.0,1.0,0.9964579020101574,1.0,1.0
original_firstorder_Range,0.9352240565218788,0.93,0.94,0.9352244450634098,0.93,0.94,0.9354544992943086,0.93,0.94,0.9983135200831994,1.0,1.0,0.9983135308815141,1.0,1.0,0.9983199229960109,1.0,1.0
original_firstorder_RobustMeanAbsoluteDeviation,0.98836001579045,0.99,0.99,0.9883600156815459,0.99,0.99,0.9883596365499316,0.99,0.99,0.999712836898334,1.0,1.0,0.9997128368956163,1.0,1.0,0.9997128274348459,1.0,1.0
original_firstorder_RootMeanSquared,0.9941647860350246,0.99,1.0,0.9941647877072274,0.99,1.0,0.994176468692754,0.99,1.0,0.9998568628438469,1.0,1.0,0.9998568628851008,1.0,1.0,0.9998571510556284,1.0,1.0
original_firstorder_Skewness,0.9673535531114752,0.96,0.97,0.9673535723490629,0.96,0.97,0.9673769442631477,0.96,0.97,0.9991775500076016,1.0,1.0,0.9991775505081909,1.0,1.0,0.9991781586642695,1.0,1.0
original_firstorder_TotalEnergy,0.9950921839223623,0.99,1.0,0.9950921846336629,0.99,1.0,0.995098097725571,0.99,1.0,0.9998797212606128,1.0,1.0,0.9998797212781289,1.0,1.0,0.9998798668901218,1.0,1.0
original_firstorder_Uniformity,0.9198279777600916,0.91,0.93,0.9198283386544566,0.91,0.93,0.919998134893457,0.91,0.93,0.9978786608745972,1.0,1.0,0.9978786712340859,1.0,1.0,0.997883544364996,1.0,1.0
original_firstorder_Variance,0.9549527754847111,0.95,0.96,0.9549528025531571,0.95,0.96,0.9549763298344979,0.95,0.96,0.9988507807304028,1.0,1.0,0.9988507814527018,1.0,1.0,0.9988514092433971,1.0,1.0
original_glcm_Autocorrelation,0.8836345866596077,0.87,0.9,0.8836346215011065,0.87,0.9,0.8836454691301477,0.87,0.9,0.9967983440469677,1.0,1.0,0.9967983451283572,1.0,1.0,0.9967986818065235,1.0,1.0
original_glcm_ClusterProminence,0.9572335667691975,0.95,0.96,0.9572336747372435,0.95,0.96,0.9573327668280275,0.95,0.96,0.9989115004140138,1.0,1.0,0.9989115032816861,1.0,1.0,0.9989141349394833,1.0,1.0
original_glcm_ClusterShade,0.9747199830342304,0.97,0.98,0.9747200132733975,0.97,0.98,0.9747678187337148,0.97,0.98,0.9993678225554459,1.0,1.0,0.9993678233307587,1.0,1.0,0.9993690489733346,1.0,1.0
original_glcm_ClusterTendency,0.910626051109884,0.9,0.92,0.9106264525556584,0.9,0.92,0.9107941861486547,0.9,0.92,0.9976119212161713,1.0,1.0,0.9976119329674727,1.0,1.0,0.9976168420585492,1.0,1.0
original_glcm_Contrast,0.9051919845183721,0.89,0.92,0.9051922748148389,0.89,0.92,0.9053059265089624,0.89,0.92,0.9974519234453865,1.0,1.0,0.9974519320426514,1.0,1.0,0.9974552974781538,1.0,1.0
original_glcm_Correlation,0.9598512232774171,0.95,0.97,0.9598513300892714,0.95,0.97,0.9599560386856835,0.95,0.97,0.9989808415785641,1.0,1.0,0.9989808444004669,1.0,1.0,0.9989836104419506,1.0,1.0
original_glcm_DifferenceAverage,0.901031525141638,0.89,0.92,0.9010318139801016,0.89,0.92,0.9011396426134866,0.89,0.92,0.9973281558950375,1.0,1.0,0.9973281645261588,1.0,1.0,0.9973313863040258,1.0,1.0
original_glcm_DifferenceEntropy,0.8972610081825954,0.88,0.91,0.8972612509256573,0.88,0.91,0.8973481782612855,0.88,0.91,0.9972150239762424,1.0,1.0,0.9972150312893656,1.0,1.0,0.9972176499027672,1.0,1.0
original_glcm_DifferenceVariance,0.9200250893805529,0.91,0.93,0.9200252721167043,0.91,0.93,0.9201114696845047,0.91,0.93,0.9978843177943596,1.0,1.0,0.9978843230376219,1.0,1.0,0.997886796084959,1.0,1.0
original_glcm_Id,0.9091266071179929,0.9,0.92,0.909126870481332,0.9,0.92,0.9092349089786091,0.9,0.92,0.9975679583423287,1.0,1.0,0.9975679660763895,1.0,1.0,0.9975711384216892,1.0,1.0
original_glcm_Idm,0.9110914630255765,0.9,0.92,0.9110917098581037,0.9,0.92,0.9111954279013075,0.9,0.92,0.9976255381956199,1.0,1.0,0.9976255454138309,1.0,1.0,0.9976285781405232,1.0,1.0
original_glcm_Idmn,0.904436543110445,0.89,0.92,0.9044368217645941,0.89,0.92,0.9045449620915028,0.89,0.92,0.997429532505529,1.0,1.0,0.9974295407714219,1.0,1.0,0.9974327482316262,1.0,1.0
original_glcm_Idn,0.9018272068380121,0.89,0.92,0.9018274828613124,0.89,0.92,0.9019314538051485,0.89,0.92,0.9973519121893035,1.0,1.0,0.9973519204233239,1.0,1.0,0.9973550216202,1.0,1.0
original_glcm_Imc1,0.929035776761186,0.92,0.94,0.9290363085979951,0.92,0.94,0.9293218630594585,0.92,0.94,0.9981404202817287,1.0,1.0,0.9981404352548623,1.0,1.0,0.9981484722378162,1.0,1.0
original_glcm_Imc2,0.9538147236618288,0.95,0.96,0.9538147870763719,0.95,0.96,0.9538684850230579,0.95,0.96,0.9988203774621057,1.0,1.0,0.9988203791582068,1.0,1.0,0.9988218152978984,1.0,1.0
original_glcm_InverseVariance,0.9115449860183535,0.9,0.92,0.9115450908757391,0.9,0.92,0.9115893965848266,0.9,0.92,0.9976387943104126,1.0,1.0,0.9976387973738255,1.0,1.0,0.9976400917056728,1.0,1.0
original_glcm_JointAverage,0.885990692786473,0.87,0.9,0.8859906830837377,0.87,0.9,0.88598759161133,0.87,0.9,0.9968712823271333,1.0,1.0,0.9968712820275413,1.0,1.0,0.9968711865716248,1.0,1.0
original_glcm_JointEnergy,0.9174862638480272,0.9,0.93,0.9174867528410364,0.9,0.93,0.9177097326775927,0.91,0.93,0.9978112748345244,1.0,1.0,0.9978112889409259,1.0,1.0,0.9978177199070418,1.0,1.0
original_glcm_JointEntropy,0.8972510374072713,0.88,0.91,0.8972513331730525,0.88,0.91,0.8973572389640394,0.88,0.91,0.997214723583245,1.0,1.0,0.9972147324939765,1.0,1.0,0.997217922820467,1.0,1.0
original_glcm_MCC,0.9158519345170129,0.9,0.93,0.915852225696144,0.9,0.93,0.9159821788998362,0.9,0.93,0.997764046009902,1.0,1.0,0.9977640544390062,1.0,1.0,0.997767815826268,1.0,1.0
