,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
original_shape_Elongation,0.9753312892524155,0.97,0.98,0.9753313582716002,0.97,0.98,0.9754432528996567,0.97,0.98,0.9993834864756149,1.0,1.0,0.9993834882430603,1.0,1.0,0.9993863533231604,1.0,1.0
original_shape_Flatness,0.9849681350238768,0.98,0.99,0.9849681787630664,0.98,0.99,0.9850856998338045,0.98,0.99,0.9996279123950834,1.0,1.0,0.9996279134938848,1.0,1.0,0.9996308654758539,1.0,1.0
original_shape_LeastAxisLength,0.974772316130576,0.97,0.98,0.9747723155723075,0.97,0.98,0.9747714311644724,0.97,0.98,0.9993691642721448,1.0,1.0,0.9993691642578328,1.0,1.0,0.9993691415845384,1.0,1.0
original_shape_MajorAxisLength,0.9966166160288459,1.0,1.0,0.996616617448797,1.0,1.0,0.9966337665576682,1.0,1.0,0.9999172051453044,1.0,1.0,0.999917205180167,1.0,1.0,0.9999176262190884,1.0,1.0
original_shape_Maximum2DDiameterColumn,0.8245151081701928,0.8,0.85,0.8245147228201374,0.8,0.85,0.8244404963400902,0.8,0.85,0.994835733639635,0.99,1.0,0.9948357199567623,0.99,1.0,0.9948330841178302,0.99,1.0
original_shape_Maximum2DDiameterRow,0.8910553331328582,0.87,0.91,0.8910563299909052,0.87,0.91,0.8913907400393547,0.88,0.91,0.9970267989572597,1.0,1.0,0.9970268293978664,1.0,1.0,0.9970370373898589,1.0,1.0
original_shape_Maximum2DDiameterSlice,0.9919329343444996,0.99,0.99,0.9919329896363112,0.99,0.99,0.9922118157713283,0.99,0.99,0.999801681473206,1.0,1.0,0.9998016828432674,1.0,1.0,0.9998085899094977,1.0,1.0
original_shape_Maximum3DDiameter,0.9964381118751161,1.0,1.0,0.9964381197207677,1.0,1.0,0.9965281155048143,1.0,1.0,0.9999128217342913,1.0,1.0,0.9999128219269856,1.0,1.0,0.9999150320866727,1.0,1.0
original_shape_MeshVolume,0.9883742736202422,0.99,0.99,0.9883742715611853,0.99,0.99,0.9883670944388703,0.99,0.99,0.9997131926800791,1.0,1.0,0.9997131926286991,1.0,1.0,0.9997130135361368,1.0,1.0
original_shape_MinorAxisLength,0.9558341848447802,0.95,0.96,0.9558342038146619,0.95,0.96,0.9558510364627304,0.95,0.96,0.9988742792656078,1.0,1.0,0.9988742797708938,1.0,1.0,0.9988747281213954,1.0,1.0
original_shape_Sphericity,0.8741797024386934,0.86,0.89,0.8742333556912443,0.85,0.89,0.8897900292435017,0.87,0.91,0.9965018033319685,1.0,1.0,0.9965035036925403,1.0,1.0,0.9969881074554442,1.0,1.0
original_shape_SurfaceArea,0.9857404557009464,0.98,0.99,0.9857408331259295,0.98,0.99,0.9868117189085743,0.98,0.99,0.9996472995560179,1.0,1.0,0.9996473090230763,1.0,1.0,0.9996741419167972,1.0,1.0
original_shape_SurfaceVolumeRatio,0.9665595603015946,0.96,0.97,0.9665623388324818,0.96,0.97,0.9698663308499688,0.96,0.97,0.9991568726419159,1.0,1.0,0.9991569450588732,1.0,1.0,0.9992427709076181,1.0,1.0
original_shape_VoxelVolume,0.988417172376301,0.99,0.99,0.9884171701218699,0.99,0.99,0.9884092825560659,0.99,0.99,0.9997142630907729,1.0,1.0,0.9997142630345227,1.0,1.0,0.9997140662306078,1.0,1.0
original_firstorder_10Percentile,0.9812048480784382,0.98,0.98,0.9812048986665455,0.98,0.98,0.9813131900951875,0.98,0.98,0.9995330187496747,1.0,1.0,0.9995330200300563,1.0,1.0,0.9995357605840621,1.0,1.0
original_firstorder_90Percentile,0.9962233893450918,1.0,1.0,0.9962233898205062,1.0,1.0,0.9962285315940127,1.0,1.0,0.9999075469017281,1.0,1.0,0.9999075469134094,1.0,1.0,0.9999076732511551,1.0,1.0
original_firstorder_Energy,0.9962728487751464,1.0,1.0,0.9962728490446063,1.0,1.0,0.9962758021602863,1.0,1.0,0.9999087621092315,1.0,1.0,0.9999087621158518,1.0,1.0,0.9999088346695418,1.0,1.0
original_firstorder_Entropy,0.9000976082525861,0.89,0.91,0.9000984231623149,0.89,0.91,0.9003995522747409,0.89,0.91,0.9973002202455122,1.0,1.0,0.9973002446459646,1.0,1.0,0.9973092582690247,1.0,1.0
original_firstorder_InterquartileRange,0.9887704564653108,0.99,0.99,0.9887704597666983,0.99,0.99,0.988782378194428,0.99,0.99,0.9997230747980701,1.0,1.0,0.9997230748803855,1.0,1.0,0.9997233720459427,1.0,1.0
original_firstorder_Kurtosis,0.9692285961775782,0.96,0.97,0.9692286904803361,0.96,0.97,0.9693504889340533,0.96,0.97,0.9992262492765566,1.0,1.0,0.9992262517212012,1.0,1.0,0.9992294087596114,1.0,1.0
original_firstorder_Maximum,0.943336750474201,0.93,0.95,0.943337149533388,0.93,0.95,0.943609615367103,0.93,0.95,0.9985370985481535,1.0,1.0,0.9985371094537188,1.0,1.0,0.9985445533541517,1.0,1.0
original_firstorder_MeanAbsoluteDeviation,0.9901439835618849,0.99,0.99,0.9901439875273085,0.99,0.99,0.9901603209622702,0.99,0.99,0.9997572754063041,1.0,1.0,0.999757275504909,1.0,1.0,0.9997576816480475,1.0,1.0
original_firstorder_Mean,0.9958050284526194,1.0,1.0,0.9958050307213772,1.0,1.0,0.9958271121375124,1.0,1.0,0.999897263154313,1.0,1.0,0.9998972632101045,1.0,1.0,0.9998978062050647,1.0,1.0
original_firstorder_Median,0.9964762220680391,1.0,1.0,0.9964762238586778,1.0,1.0,0.9964969853851822,1.0,1.0,0.9999137577102669,1.0,1.0,0.999913757754243,1.0,1.0,0.9999142676223001,1.0,1.0
original_firstorder_Minimum,0.8591082550304122,0.84,0.88,0.8591092377695198,0.84,0.88,0.8593549966126987,0.84,0.88,0.9960159928332323,1.0,1.0,0.9960160250506508,1.0,1.0,0.9960240795855169,1.0,1.0
original_firstorder_Range,0.9424878335899652,0.93,0.95,0.9424882312038295,0.93,0.95,0.9427554608924,0.93,0.95,0.998513878820661,1.0,1.0,0.9985138897058053,1.0,1.0,0.9985212034077593,1.0,1.0
original_firstorder_RobustMeanAbsoluteDeviation,0.9893616173246699,0.99,0.99,0.989361621423262,0.99,0.99,0.9893772494759077,0.99,0.99,0.9997378059635333,1.0,1.0,0.9997378060656068,1.0,1.0,0.9997381952688317,1.0,1.0
original_firstorder_RootMeanSquared,0.9959094213784854,1.0,1.0,0.9959094225793016,1.0,1.0,0.9959214093100098,1.0,1.0,0.9998998300305626,1.0,1.0,0.999899830060086,1.0,1.0,0.9999001247634539,1.0,1.0
original_firstorder_Skewness,0.9705022466662367,0.97,0.97,0.9705023120849107,0.97,0.97,0.970590565743577,0.97,0.98,0.9992592243404637,1.0,1.0,0.999259226031999,1.0,1.0,0.9992615078108323,1.0,1.0
original_firstorder_TotalEnergy,0.9962728487751464,1.0,1.0,0.9962728490446061,1.0,1.0,0.9962758021602861,1.0,1.0,0.9999087621092316,1.0,1.0,0.9999087621158517,1.0,1.0,0.9999088346695417,1.0,1.0
original_firstorder_Uniformity,0.9210806472698838,0.91,0.93,0.921081193058177,0.91,0.93,0.9213424366422743,0.91,0.93,0.9979145712112955,1.0,1.0,0.9979145868367091,1.0,1.0,0.9979220639297122,1.0,1.0
original_firstorder_Variance,0.992358864311769,0.99,0.99,0.9923588670364323,0.99,0.99,0.9923733752476164,0.99,0.99,0.9998122310632885,1.0,1.0,0.9998122311307458,1.0,1.0,0.999812590319888,1.0,1.0
original_glcm_Autocorrelation,0.8852358213595167,0.87,0.9,0.8852369064380201,0.87,0.9,0.8855802007137975,0.87,0.9,0.9968479547841493,1.0,1.0,0.9968479883437412,1.0,1.0,0.9968586018234168,1.0,1.0
original_glcm_ClusterProminence,0.9565082496959968,0.95,0.96,0.9565083547203593,0.95,0.96,0.9566030653651446,0.95,0.96,0.9988922214785899,1.0,1.0,0.9988922242722011,1.0,1.0,0.9988947432988426,1.0,1.0
original_glcm_ClusterShade,0.9772886640535529,0.97,0.98,0.9772886701622867,0.97,0.98,0.9772994477115701,0.97,0.98,0.9994335130995448,1.0,1.0,0.999433513255367,1.0,1.0,0.9994337881672922,1.0,1.0
original_glcm_ClusterTendency,0.9015622535813261,0.89,0.92,0.9015628992262873,0.89,0.92,0.901805408748366,0.89,0.92,0.9973440061356321,1.0,1.0,0.9973440254068042,1.0,1.0,0.9973512619174223,1.0,1.0
original_glcm_Contrast,0.9236427350721161,0.91,0.93,0.9236429681379944,0.91,0.93,0.9237585715547106,0.91,0.93,0.997987723351877,1.0,1.0,0.9979877299883464,1.0,1.0,0.9979910213532944,1.0,1.0
original_glcm_Correlation,0.9710825619797326,0.97,0.98,0.9710825605984864,0.97,0.98,0.971080658861162,0.97,0.98,0.9992742208546751,1.0,1.0,0.9992742208190019,1.0,1.0,0.9992741717028243,1.0,1.0
original_glcm_DifferenceAverage,0.9261737438434129,0.91,0.94,0.926174098767636,0.91,0.94,0.926356692932851,0.91,0.94,0.9980596011865751,1.0,1.0,0.9980596112392038,1.0,1.0,0.99806478191581,1.0,1.0
original_glcm_DifferenceEntropy,0.9043361304664949,0.89,0.92,0.9043366731936346,0.89,0.92,0.9045470745939018,0.89,0.92,0.9974265535795567,1.0,1.0,0.9974265696822868,1.0,1.0,0.9974328108813693,1.0,1.0
original_glcm_DifferenceVariance,0.9152645282040165,0.9,0.93,0.9152649486704745,0.9,0.93,0.9154511938995116,0.9,0.93,0.9977470310414177,1.0,1.0,0.9977470432283652,1.0,1.0,0.9977524403539244,1.0,1.0
original_glcm_Id,0.9233857337825214,0.91,0.93,0.923386171300265,0.91,0.93,0.9236024207163499,0.91,0.93,0.9979804033451687,1.0,1.0,0.9979804158100837,1.0,1.0,0.9979865753656322,1.0,1.0
original_glcm_Idm,0.9239686304038787,0.91,0.94,0.9239690555329311,0.91,0.94,0.9241809252215395,0.91,0.94,0.9979969999228593,1.0,1.0,0.9979970120199448,1.0,1.0,0.9980030394426446,1.0,1.0
original_glcm_Idmn,0.9272360459333137,0.92,0.94,0.9272362871198457,0.92,0.94,0.927362315995701,0.92,0.94,0.9980896555434591,1.0,1.0,0.9980896623594278,1.0,1.0,0.9980932234826944,1.0,1.0
original_glcm_Idn,0.9257479181797027,0.91,0.94,0.9257482995251873,0.91,0.94,0.9259432742034142,0.91,0.94,0.9980475349879687,1.0,1.0,0.9980475457986121,1.0,1.0,0.9980530719390538,1.0,1.0
original_glcm_Imc1,0.9422845640818943,0.93,0.95,0.9422847793185022,0.93,0.95,0.9424288768696466,0.93,0.95,0.9985083129085988,1.0,1.0,0.9985083188034304,1.0,1.0,0.9985122647125068,1.0,1.0
original_glcm_Imc2,0.9585362068238441,0.95,0.96,0.9585362144297991,0.95,0.96,0.958543423518548,0.95,0.96,0.998946053208604,1.0,1.0,0.9989460534100862,1.0,1.0,0.9989462443779772,1.0,1.0
original_glcm_InverseVariance,0.9257959200148439,0.91,0.94,0.925796277476603,0.91,0.94,0.9259791661777366,0.91,0.94,0.9980488957087659,1.0,1.0,0.9980489058413139,1.0,1.0,0.9980540889733742,1.0,1.0
original_glcm_JointAverage,0.8918570305034864,0.88,0.91,0.8918580106238279,0.88,0.91,0.8921895400607072,0.88,0.91,0.9970512586505137,1.0,1.0,0.9970512885276916,1.0,1.0,0.9970613909331065,1.0,1.0
original_glcm_JointEnergy,0.9268499396524148,0.92,0.94,0.9268503418590395,0.92,0.94,0.927059332057129,0.92,0.94,0.9980787396915134,1.0,1.0,0.9980787510671559,1.0,1.0,0.9980846606538359,1.0,1.0
original_glcm_JointEntropy,0.8969449876428106,0.88,0.91,0.8969457844015022,0.88,0.91,0.8972301947714975,0.88,0.91,0.9972054999555701,1.0,1.0,0.9972055239759733,1.0,1.0,0.997214095628967,1.0,1.0
original_glcm_MCC,0.9196918960717733,0.91,0.93,0.9196918587204779,0.91,0.93,0.919674321360672,0.91,0.93,0.9978747540795533,1.0,1.0,0.9978747530070733,1.0,1.0,0.9978742494417645,1.0,1.0
original_glcm_MaximumProbability,0.9172068613782071,0.9,0.93,0.9172072730153182,0.9,0.93,0.9173942809612912,0.9,0.93,0.9978032122770607,1.0,1.0,0.9978032241589548,1.0,1.0,0.9978086210647829,1.0,1.0
original_glcm_SumAverage,0.8918570305034863,0.88,0.91,0.8918580106238276,0.88,0.91,0.892189540060707,0.88,0.91,0.9970512586505137,1.0,1.0,0.9970512885276915,1.0,1.0,0.9970613909331064,1.0,1.0
original_glcm_SumEntropy,0.899019742830006,0.88,0.91,0.8990205700589262,0.88,0.91,0.8993226268565775,0.88,0.91,0.9972679085605703,1.0,1.0,0.9972679333877104,1.0,1.0,0.9972769958719445,1.0,1.0
original_glcm_SumSquares,0.8986692983375417,0.88,0.91,0.8986699820329094,0.88,0.91,0.8989186534313766,0.88,0.91,0.997257386874154,1.0,1.0,0.9972574074090815,1.0,1.0,0.9972648742886288,1.0,1.0
original_glrlm_GrayLevelNonUniformity,0.9789822131483874,0.98,0.98,0.9789822361978432,0.98,0.98,0.9790262563853053,0.98,0.98,0.9994766394619257,1.0,1.0,0.9994766400478918,1.0,1.0,0.9994777590854496,1.0,1.0
original_glrlm_GrayLevelNonUniformityNormalized,0.9167775232421643,0.9,0.93,0.9167781156577636,0.9,0.93,0.9170457616310643,0.9,0.93,0.9977908137881829,1.0,1.0,0.9977908309038347,1.0,1.0,0.9977985613399155,1.0,1.0
original_glrlm_GrayLevelVariance,0.8878027197222125,0.87,0.9,0.887803421291739,0.87,0.9,0.8880310884641498,0.87,0.9,0.9969271213304466,1.0,1.0,0.9969271429069172,1.0,1.0,0.9969341429620925,1.0,1.0
original_glrlm_HighGrayLevelRunEmphasis,0.8827186224688387,0.87,0.9,0.882719738105367,0.87,0.9,0.8830641433645681,0.87,0.9,0.9967698862117598,1.0,1.0,0.9967699209080925,1.0,1.0,0.9967806278474404,1.0,1.0
original_glrlm_LongRunEmphasis,0.9213275965214061,0.91,0.93,0.9213280022749911,0.91,0.93,0.921522865515275,0.91,0.93,0.9979216392989124,1.0,1.0,0.9979216509092017,1.0,1.0,0.9979272256026799,1.0,1.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.8860110541991569,0.87,0.9,0.8860124471220348,0.87,0.9,0.8864565725667485,0.87,0.9,0.9968719110137185,1.0,1.0,0.9968719540210987,1.0,1.0,0.9968856599740813,1.0,1.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.8892566820878012,0.87,0.9,0.8892575035829587,0.87,0.9,0.8895280432665438,0.87,0.91,0.9969717662424051,1.0,1.0,0.9969717914268397,1.0,1.0,0.9969800828540241,1.0,1.0
original_glrlm_LowGrayLevelRunEmphasis,0.8278158265379614,0.8,0.85,0.8278170756034,0.8,0.85,0.8280633614117997,0.8,0.85,0.9949524807084952,0.99,1.0,0.9949525247171331,0.99,1.0,0.9949611996492368,0.99,1.0
original_glrlm_RunEntropy,0.9040828741193166,0.89,0.92,0.9040835294747085,0.89,0.92,0.9043368642511641,0.89,0.92,0.9974190374036438,1.0,1.0,0.9974190568586573,1.0,1.0,0.9974265753509649,1.0,1.0
original_glrlm_RunLengthNonUniformity,0.9798589312983147,0.98,0.98,0.9798589593861939,0.98,0.98,0.9799149878472637,0.98,0.98,0.9994989080537986,1.0,1.0,0.9994989087666067,1.0,1.0,0.9995003305653805,1.0,1.0
original_glrlm_RunLengthNonUniformityNormalized,0.9262187427750094,0.91,0.94,0.9262193958051621,0.91,0.94,0.9265556305115901,0.92,0.94,0.9980608756454443,1.0,1.0,0.998060894139664,1.0,1.0,0.9980704131441868,1.0,1.0
original_glrlm_RunPercentage,0.926396796095317,0.91,0.94,0.9263970980517676,0.91,0.94,0.9265529462158435,0.92,0.94,0.998065917285859,1.0,1.0,0.9980659258342559,1.0,1.0,0.9980703371768159,1.0,1.0
original_glrlm_RunVariance,0.9178540659179015,0.91,0.93,0.9178549482962247,0.91,0.93,0.9182593546555614,0.91,0.93,0.9978218810033416,1.0,1.0,0.997821906438201,1.0,1.0,0.9978335585822447,1.0,1.0
original_glrlm_ShortRunEmphasis,0.921512294929115,0.91,0.93,0.9215130557879613,0.91,0.93,0.9218794600013335,0.91,0.93,0.9979269232557417,1.0,1.0,0.997926945018558,1.0,1.0,0.9979374212004092,1.0,1.0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.8824759555437599,0.87,0.9,0.8824770778782287,0.87,0.9,0.8828227409147351,0.87,0.9,0.9967623372349899,1.0,1.0,0.9967623721582987,1.0,1.0,0.9967731239314627,1.0,1.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.8102513517987266,0.78,0.84,0.8102525720012883,0.78,0.84,0.8104662560167306,0.79,0.84,0.9943206123584042,0.99,1.0,0.9943206571772634,0.99,1.0,0.9943285039156784,0.99,1.0
original_glszm_GrayLevelNonUniformity,0.9477031571209568,0.94,0.96,0.9477033407978175,0.94,0.96,0.9478398298405146,0.94,0.96,0.9986558889395961,1.0,1.0,0.9986558939141895,1.0,1.0,0.998659589981836,1.0,1.0
original_glszm_GrayLevelNonUniformityNormalized,0.8111808446655733,0.79,0.84,0.8111830487073587,0.79,0.84,0.8115714533322054,0.79,0.84,0.9943547153543697,0.99,1.0,0.9943547961303292,0.99,1.0,0.994369024130657,0.99,1.0
original_glszm_GrayLevelVariance,0.8062952247370024,0.78,0.83,0.8062966792640354,0.78,0.83,0.8065449891006112,0.78,0.83,0.9941746094077384,0.99,1.0,0.9941746633431924,0.99,1.0,0.9941838681780576,0.99,1.0
original_glszm_HighGrayLevelZoneEmphasis,0.8083312570271851,0.78,0.83,0.8083346098867925,0.78,0.83,0.8089147737819724,0.78,0.83,0.9942499233841122,0.99,1.0,0.9942500471047505,0.99,1.0,0.9942714401931201,0.99,1.0
original_glszm_LargeAreaEmphasis,0.9072637106465314,0.89,0.92,0.9072640507766592,0.89,0.92,0.9074005022595527,0.89,0.92,0.9975131422500304,1.0,1.0,0.9975131522784215,1.0,1.0,0.997517174821441,1.0,1.0
