,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
original_shape_Elongation,0.9915650415116939,0.99,0.99,0.9915650421612879,0.99,0.99,0.9915681730343254,0.99,0.99,0.9997925622526876,1.0,1.0,0.9997925622687954,1.0,1.0,0.9997926399038122,1.0,1.0
original_shape_Flatness,0.990161865996896,0.99,0.99,0.9901618673338066,0.99,0.99,0.9901673840685397,0.99,0.99,0.9997577200658182,1.0,1.0,0.9997577200990608,1.0,1.0,0.9997578572734465,1.0,1.0
original_shape_LeastAxisLength,0.9887874105511448,0.99,0.99,0.9887874135059962,0.99,0.99,0.9887980971938665,0.99,0.99,0.9997234975170297,1.0,1.0,0.9997234975907024,1.0,1.0,0.9997237639615536,1.0,1.0
original_shape_MajorAxisLength,0.9941671675096235,0.99,1.0,0.9941671676526675,0.99,1.0,0.9941681672706948,0.99,1.0,0.9998569215954869,1.0,1.0,0.9998569215990158,1.0,1.0,0.9998569462597885,1.0,1.0
original_shape_Maximum2DDiameterColumn,0.9378748000143932,0.93,0.95,0.9378748687451544,0.93,0.95,0.9379174121073961,0.93,0.95,0.9983869865535822,1.0,1.0,0.9983869884532398,1.0,1.0,0.9983881642622722,1.0,1.0
original_shape_Maximum2DDiameterRow,0.9724781851046572,0.97,0.98,0.9724781743634958,0.97,0.98,0.9724626135984089,0.97,0.98,0.999310215117826,1.0,1.0,0.9993102148411903,1.0,1.0,0.9993098140715709,1.0,1.0
original_shape_Maximum2DDiameterSlice,0.9885829935618773,0.99,0.99,0.988583023717155,0.99,0.99,0.9886900905920574,0.99,0.99,0.9997183998125797,1.0,1.0,0.9997184005647368,1.0,1.0,0.999721070830402,1.0,1.0
original_shape_Maximum3DDiameter,0.998678578611994,1.0,1.0,0.9986785787829585,1.0,1.0,0.9986838763504389,1.0,1.0,0.9999677286060387,1.0,1.0,0.9999677286102194,1.0,1.0,0.9999678581523075,1.0,1.0
original_shape_MeshVolume,0.9959155611275856,1.0,1.0,0.9959155613634146,1.0,1.0,0.9959179189752992,1.0,1.0,0.999899980982073,1.0,1.0,0.999899980987871,1.0,1.0,0.9999000389514959,1.0,1.0
original_shape_MinorAxisLength,0.9926928900239094,0.99,0.99,0.9926928915788774,0.99,0.99,0.992701552784953,0.99,0.99,0.9998204981569656,1.0,1.0,0.9998204981954383,1.0,1.0,0.9998207124869989,1.0,1.0
original_shape_Sphericity,0.9152793622778979,0.9,0.93,0.9153031639886204,0.9,0.93,0.9259691082885146,0.91,0.94,0.9977474609908257,1.0,1.0,0.997748150829034,1.0,1.0,0.9980538039809537,1.0,1.0
original_shape_SurfaceArea,0.9889836666902909,0.99,0.99,0.9889839312894627,0.99,0.99,0.9899588140634801,0.99,0.99,0.9997283897741257,1.0,1.0,0.999728396368754,1.0,1.0,0.9997526701133734,1.0,1.0
original_shape_SurfaceVolumeRatio,0.9710112438593249,0.97,0.98,0.9710129424054791,0.97,0.98,0.9733512477272924,0.97,0.98,0.9992723787929253,1.0,1.0,0.9992724226674076,1.0,1.0,0.9993326809493811,1.0,1.0
original_shape_VoxelVolume,0.9959269720389978,1.0,1.0,0.9959269722658599,1.0,1.0,0.9959292466156814,1.0,1.0,0.9999002615252474,1.0,1.0,0.9999002615308248,1.0,1.0,0.9999003174461449,1.0,1.0
original_firstorder_10Percentile,0.9993344006750622,1.0,1.0,0.9993344007120936,1.0,1.0,0.999336680271819,1.0,1.0,0.9999837553213945,1.0,1.0,0.9999837553222989,1.0,1.0,0.9999838109934713,1.0,1.0
original_firstorder_90Percentile,0.9983251730386161,1.0,1.0,0.9983251730177043,1.0,1.0,0.9983246619546521,1.0,1.0,0.9999590837056122,1.0,1.0,0.9999590837051004,1.0,1.0,0.9999590711993067,1.0,1.0
original_firstorder_Energy,0.9999478301453129,1.0,1.0,0.9999478301452843,1.0,1.0,0.9999478077188197,1.0,1.0,0.9999987274997529,1.0,1.0,0.9999987274997522,1.0,1.0,0.9999987269527095,1.0,1.0
original_firstorder_Entropy,0.9586854224160768,0.95,0.96,0.958685403326698,0.95,0.96,0.9586672423073183,0.95,0.96,0.9989500053410761,1.0,1.0,0.9989500048355505,1.0,1.0,0.9989495238858485,1.0,1.0
original_firstorder_InterquartileRange,0.9978844012228157,1.0,1.0,0.9978844011893266,1.0,1.0,0.9978837535461408,1.0,1.0,0.9999482933072726,1.0,1.0,0.9999482933064525,1.0,1.0,0.9999482774448581,1.0,1.0
original_firstorder_Kurtosis,0.9135375129874177,0.9,0.93,0.9135375556829892,0.9,0.93,0.9135560515274047,0.9,0.93,0.9976968824949424,1.0,1.0,0.9976968837370047,1.0,1.0,0.9976974217913805,1.0,1.0
original_firstorder_Maximum,0.727724274914052,0.7,0.76,0.727725929796736,0.7,0.76,0.7279073218400735,0.7,0.76,0.9909569900241016,0.99,0.99,0.9909570648683251,0.99,0.99,0.9909652665651151,0.99,0.99
original_firstorder_MeanAbsoluteDeviation,0.9994114034884786,1.0,1.0,0.9994114035087907,1.0,1.0,0.9994128175665773,1.0,1.0,0.9999856357389835,1.0,1.0,0.9999856357394794,1.0,1.0,0.9999856702682904,1.0,1.0
original_firstorder_Mean,0.9990868546026631,1.0,1.0,0.9990868546196122,1.0,1.0,0.9990876149357248,1.0,1.0,0.9999777083019562,1.0,1.0,0.9999777083023703,1.0,1.0,0.9999777268797374,1.0,1.0
original_firstorder_Median,0.9950470478548836,0.99,1.0,0.9950470482209905,0.99,1.0,0.9950500638123455,0.99,1.0,0.9998786097132595,1.0,1.0,0.9998786097222759,1.0,1.0,0.9998786839890693,1.0,1.0
original_firstorder_Minimum,0.9994018726021888,1.0,1.0,0.9994018725954986,1.0,1.0,0.9994014142750792,1.0,1.0,0.9999854030089702,1.0,1.0,0.9999854030088069,1.0,1.0,0.9999853918171974,1.0,1.0
original_firstorder_Range,0.9000391937545218,0.89,0.91,0.9000394168006479,0.89,0.91,0.900121764231472,0.89,0.91,0.9972984710561353,1.0,1.0,0.9972984777355468,1.0,1.0,0.9973009435181892,1.0,1.0
original_firstorder_RobustMeanAbsoluteDeviation,0.9987721721215147,1.0,1.0,0.9987721721475866,1.0,1.0,0.9987730416813781,1.0,1.0,0.9999700170625867,1.0,1.0,0.9999700170632244,1.0,1.0,0.9999700383222485,1.0,1.0
original_firstorder_RootMeanSquared,0.999497319304722,1.0,1.0,0.9994973193112693,1.0,1.0,0.9994978530677597,1.0,1.0,0.9999877334794878,1.0,1.0,0.9999877334796476,1.0,1.0,0.9999877465108703,1.0,1.0
original_firstorder_Skewness,0.9360484218759337,0.93,0.95,0.9360486745608424,0.93,0.95,0.9362003379264172,0.93,0.95,0.9983364111352674,1.0,1.0,0.9983364181458244,1.0,1.0,0.9983406252693581,1.0,1.0
original_firstorder_TotalEnergy,0.9999478301453127,1.0,1.0,0.9999478301452844,1.0,1.0,0.9999478077188199,1.0,1.0,0.9999987274997528,1.0,1.0,0.9999987274997522,1.0,1.0,0.9999987269527095,1.0,1.0
original_firstorder_Uniformity,0.9227364834065808,0.91,0.93,0.9227364327088953,0.91,0.93,0.9227116091810047,0.91,0.93,0.9979618934707541,1.0,1.0,0.9979618920243926,1.0,1.0,0.9979611838118722,1.0,1.0
original_firstorder_Variance,0.9994637488768398,1.0,1.0,0.9994637488826257,1.0,1.0,0.999464191030437,1.0,1.0,0.9999869138580123,1.0,1.0,0.9999869138581536,1.0,1.0,0.9999869246535346,1.0,1.0
original_glcm_Autocorrelation,0.8169776577784246,0.79,0.84,0.8169800930111074,0.79,0.84,0.8174260250457444,0.79,0.84,0.9945657007483879,0.99,1.0,0.9945657887725595,0.99,1.0,0.9945818988989467,0.99,1.0
original_glcm_ClusterProminence,0.9599905084319486,0.95,0.97,0.9599905242267801,0.95,0.97,0.9600060627520745,0.95,0.97,0.9989845208855934,1.0,1.0,0.998984521302765,1.0,1.0,0.998984931698385,1.0,1.0
original_glcm_ClusterShade,0.9667521952509308,0.96,0.97,0.9667522010612449,0.96,0.97,0.9667591279589967,0.96,0.97,0.999161892332876,1.0,1.0,0.9991618924842521,1.0,1.0,0.9991620729493709,1.0,1.0
original_glcm_ClusterTendency,0.978384500206045,0.97,0.98,0.97838449683998,0.97,0.98,0.9783782501801468,0.97,0.98,0.9994614352775651,1.0,1.0,0.9994614351918907,1.0,1.0,0.999461276198284,1.0,1.0
original_glcm_Contrast,0.9664919484003193,0.96,0.97,0.9664919469484672,0.96,0.97,0.9664902300108186,0.96,0.97,0.9991551103452292,1.0,1.0,0.9991551103073842,1.0,1.0,0.999155065552466,1.0,1.0
original_glcm_Correlation,0.9886968275673899,0.99,0.99,0.9886968410937241,0.99,0.99,0.9887453529704214,0.99,0.99,0.999721238832824,1.0,1.0,0.999721239170133,1.0,1.0,0.9997224488626113,1.0,1.0
original_glcm_DifferenceAverage,0.9688731197811163,0.96,0.97,0.9688731270764848,0.96,0.97,0.9688824374388065,0.96,0.97,0.9992170308362466,1.0,1.0,0.9992170310255024,1.0,1.0,0.9992172725518377,1.0,1.0
original_glcm_DifferenceEntropy,0.9589591749276222,0.95,0.97,0.9589591775738244,0.95,0.97,0.9589617126562556,0.95,0.97,0.9989572528485392,1.0,1.0,0.9989572529185771,1.0,1.0,0.9989573200152027,1.0,1.0
original_glcm_DifferenceVariance,0.9665480655269357,0.96,0.97,0.966548067573098,0.96,0.97,0.9665504915429969,0.96,0.97,0.9991565730488494,1.0,1.0,0.9991565731021801,1.0,1.0,0.9991566362796878,1.0,1.0
original_glcm_Id,0.94470451355681,0.94,0.95,0.9447045399679075,0.94,0.95,0.9447230405388328,0.94,0.95,0.9985744243305527,1.0,1.0,0.9985744250502858,1.0,1.0,0.998574929202712,1.0,1.0
original_glcm_Idm,0.9477874452191039,0.94,0.96,0.9477874645221329,0.94,0.96,0.9478018310534717,0.94,0.96,0.9986581715502831,1.0,1.0,0.9986581720729842,1.0,1.0,0.9986585610943495,1.0,1.0
