,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
moment_0_0_1,-0.0012327305455199498,-0.0,0.0,-0.00126563281784912,-0.0,0.0,-0.0012639298843316546,-0.0,0.0,-0.05316339815888164,-0.23,0.11,-0.054658025147219666,-0.23,0.11,-0.05458056557495416,-0.23,0.11
moment_0_0_2,0.9987526116321245,1.0,1.0,0.9987526116285302,1.0,1.0,0.9987524936391872,1.0,1.0,0.999969538823303,1.0,1.0,0.9999695388232152,1.0,1.0,0.9999695359384088,1.0,1.0
moment_0_0_3,0.9990309195478482,1.0,1.0,0.9990309195694991,1.0,1.0,0.9990318346897504,1.0,1.0,0.9999763415236382,1.0,1.0,0.9999763415241675,1.0,1.0,0.9999763638864181,1.0,1.0
moment_0_1_0,-0.0011845508424107453,-0.0,0.0,-0.0012188785233630556,-0.0,0.0,-0.0012171674662029965,-0.0,0.0,-0.05098222609352286,-0.23,0.11,-0.052535389791205575,-0.23,0.11,-0.052457866449892074,-0.23,0.11
moment_0_1_1,0.9833686749859072,0.98,0.99,0.9833687235321534,0.98,0.99,0.9834864247699698,0.98,0.99,0.9995876675509003,1.0,1.0,0.9995876687743351,1.0,1.0,0.9995906346673482,1.0,1.0
moment_0_1_2,0.9804999994364293,0.98,0.98,0.9805000279954506,0.98,0.98,0.9805589077835867,0.98,0.98,0.9995151665695052,1.0,1.0,0.9995151672933461,1.0,1.0,0.999516659539637,1.0,1.0
moment_0_1_3,0.9871069416169738,0.98,0.99,0.9871069591636741,0.98,0.99,0.9871620414311341,0.99,0.99,0.9996815292472347,1.0,1.0,0.9996815296861763,1.0,1.0,0.9996829075275656,1.0,1.0
moment_0_2_0,0.8487018866592205,0.83,0.87,0.8487177826466495,0.83,0.87,0.8523895569250595,0.83,0.87,0.9956707741035302,0.99,1.0,0.9956713077049009,0.99,1.0,0.9957940449054277,1.0,1.0
moment_0_2_1,0.9559798083019219,0.95,0.96,0.9559801495701589,0.95,0.96,0.9562841083795549,0.95,0.96,0.9988781575490765,1.0,1.0,0.9988781666364726,1.0,1.0,0.9988862580355898,1.0,1.0
moment_0_2_2,0.9816383882804464,0.98,0.98,0.9816384299589996,0.98,0.98,0.9817297944971057,0.98,0.98,0.9995439868990362,1.0,1.0,0.9995439879530095,1.0,1.0,0.999546298182423,1.0,1.0
moment_0_2_3,0.978561206093298,0.98,0.98,0.978561236268898,0.98,0.98,0.9786177107815883,0.98,0.98,0.9994659320782696,1.0,1.0,0.9994659328460412,1.0,1.0,0.9994673696720199,1.0,1.0
moment_0_3_0,0.7817227171647521,0.75,0.81,0.7817309698359192,0.75,0.81,0.7829446406663627,0.76,0.81,0.9932356781893291,0.99,0.99,0.9932360031309919,0.99,0.99,0.99328371807892,0.99,0.99
moment_0_3_1,0.9720530634083784,0.97,0.98,0.9720530698626474,0.97,0.98,0.9720622741630907,0.97,0.98,0.9992992615534401,1.0,1.0,0.9992992617198099,1.0,1.0,0.9992994989741147,1.0,1.0
moment_0_3_2,0.9741542194089936,0.97,0.98,0.9741542269970244,0.97,0.98,0.9741659531685877,0.97,0.98,0.9993533085261279,1.0,1.0,0.9993533087209006,1.0,1.0,0.999353609709441,1.0,1.0
moment_0_3_3,0.9837688856940062,0.98,0.99,0.9837688890645453,0.98,0.99,0.983777264968205,0.98,0.99,0.9995977494316047,1.0,1.0,0.9995977495164797,1.0,1.0,0.9995979604320209,1.0,1.0
moment_1_0_0,-0.001036411023276523,-0.0,0.0,-0.0010717453739221708,-0.0,0.0,-0.0010701965763683723,-0.0,0.0,-0.044330642621616456,-0.22,0.12,-0.0459097007047476,-0.22,0.12,-0.045840388713527774,-0.22,0.12
moment_1_0_1,0.27951134401490374,0.25,0.32,0.2795094539826142,0.25,0.32,0.27947939489962004,0.25,0.32,0.9408487836211914,0.93,0.95,0.9408482613105895,0.93,0.95,0.9408399536085259,0.93,0.95
moment_1_0_2,0.3871275783900512,0.35,0.43,0.387129786734492,0.35,0.43,0.38718698743442015,0.35,0.43,0.9628226516650443,0.96,0.97,0.9628229848343661,0.96,0.97,0.9628316133667928,0.96,0.97
moment_1_0_3,0.3367747933743018,0.3,0.38,0.3367743555621307,0.3,0.38,0.336765240955638,0.3,0.38,0.9541686417370496,0.95,0.96,0.9541685560183406,0.95,0.96,0.9541667714335709,0.95,0.96
moment_1_1_0,0.017486520690823175,0.01,0.02,0.01749509475713321,0.01,0.02,0.017501356624894285,0.01,0.02,0.4218675339062339,0.32,0.51,0.42198922554588253,0.32,0.51,0.4220780691506047,0.32,0.51
moment_1_1_1,0.14272167469612165,0.12,0.17,0.14273165668142151,0.12,0.17,0.14279982877411562,0.12,0.17,0.8722171229721656,0.85,0.89,0.872226215331132,0.85,0.89,0.8722882827878496,0.85,0.89
moment_1_1_2,0.22292772804109368,0.19,0.26,0.22294039567866394,0.19,0.26,0.22308950239579514,0.19,0.26,0.9216432669614402,0.91,0.93,0.9216485476081496,0.91,0.93,0.921710663883236,0.91,0.93
moment_1_1_3,0.27420817955852794,0.24,0.31,0.27420537648341364,0.24,0.31,0.2741619640904306,0.24,0.31,0.9393572878328097,0.93,0.95,0.9393564854977781,0.93,0.95,0.9393440574810036,0.93,0.95
moment_1_2_0,0.14365075913276262,0.12,0.17,0.14365717192027716,0.12,0.17,0.1437012924241627,0.12,0.17,0.8730587924313588,0.85,0.89,0.8730645696341172,0.85,0.89,0.8731043053566447,0.85,0.89
moment_1_2_1,0.4963197959301344,0.46,0.54,0.4963175988384776,0.46,0.54,0.4962288507189053,0.46,0.54,0.9758459103221275,0.97,0.98,0.9758457031623451,0.97,0.98,0.9758373338032675,0.97,0.98
