,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
moment_0_0_1,0.024994154716659712,0.02,0.03,0.024994154715157722,0.02,0.03,0.02499415471357909,0.02,0.03,0.512440078840639,0.43,0.59,0.5124400788252399,0.43,0.59,0.5124400788090552,0.43,0.59
moment_0_0_2,0.9964439676981065,1.0,1.0,0.9964439679229675,1.0,1.0,0.9964465512933866,1.0,1.0,0.999912965556253,1.0,1.0,0.9999129655617757,1.0,1.0,0.9999130290101299,1.0,1.0
moment_0_0_3,0.9976182587292264,1.0,1.0,0.9976182587896879,1.0,1.0,0.9976192971138572,1.0,1.0,0.9999417734513725,1.0,1.0,0.9999417734528541,1.0,1.0,0.9999417988959122,1.0,1.0
moment_0_1_0,0.024987084781227138,0.02,0.03,0.02498708478201678,0.02,0.03,0.024987084782846485,0.02,0.03,0.5123675848041537,0.43,0.59,0.5123675848122518,0.43,0.59,0.5123675848207606,0.43,0.59
moment_0_1_1,0.7871094258091327,0.76,0.81,0.787108913761576,0.76,0.81,0.7870313016093206,0.76,0.81,0.9934463704205022,0.99,0.99,0.9934463505254381,0.99,0.99,0.9934433346975478,0.99,0.99
moment_0_1_2,0.8496909656046869,0.83,0.87,0.849690787648789,0.83,0.87,0.8496495445786477,0.83,0.87,0.9957039388679578,0.99,1.0,0.9957039329076722,0.99,1.0,0.9957025514860989,0.99,1.0
moment_0_1_3,0.5345501138974108,0.49,0.58,0.5345513464701221,0.49,0.58,0.5346093908345246,0.49,0.58,0.9792042806112302,0.98,0.98,0.9792043814894684,0.98,0.98,0.9792091315483709,0.98,0.98
moment_0_2_0,0.9039627132220206,0.89,0.92,0.9039624787860503,0.89,0.92,0.9038720149160486,0.89,0.92,0.9974154698188885,1.0,1.0,0.9974154628575674,1.0,1.0,0.9974127763690717,1.0,1.0
moment_0_2_1,0.6619051252398738,0.63,0.7,0.6619069274134068,0.63,0.7,0.6620516158175639,0.63,0.7,0.9876949937357775,0.99,0.99,0.9876950916094374,0.99,0.99,0.9877029477697868,0.99,0.99
moment_0_2_2,0.9850967596712185,0.98,0.99,0.9850967588733371,0.98,0.99,0.9850945965568193,0.98,0.99,0.999631143249741,1.0,1.0,0.9996311432297019,1.0,1.0,0.999631088922414,1.0,1.0
moment_0_2_3,0.9727460291086741,0.97,0.98,0.9727460330206757,0.97,0.98,0.972751757752376,0.97,0.98,0.9993171115169541,1.0,1.0,0.9993171116176525,1.0,1.0,0.9993172589765964,1.0,1.0
moment_0_3_0,0.2853724033440797,0.25,0.32,0.2853599618704786,0.25,0.32,0.2851564175232485,0.25,0.32,0.942437891629843,0.93,0.95,0.9424345819429699,0.93,0.95,0.942380397269777,0.93,0.95
moment_0_3_1,0.39617789497546957,0.36,0.44,0.396178559799512,0.36,0.44,0.39619644493110456,0.36,0.44,0.9641587253137004,0.96,0.97,0.9641588213507403,0.96,0.97,0.9641614048304906,0.96,0.97
moment_0_3_2,0.20865085743223832,0.18,0.24,0.20864098213800827,0.18,0.24,0.20853428734214027,0.18,0.24,0.9153278152641423,0.9,0.93,0.9153231797542106,0.9,0.93,0.9152730717119152,0.9,0.93
moment_0_3_3,0.028546927354631522,0.02,0.04,0.028550351272561086,0.02,0.04,0.028554477561116037,0.02,0.04,0.5464477979233,0.47,0.62,0.5464783957331366,0.47,0.62,0.546515265072712,0.47,0.62
moment_1_0_0,0.024991979532561662,0.02,0.03,0.024991979533191152,0.02,0.03,0.024991979533852716,0.02,0.03,0.5124177770194223,0.43,0.59,0.5124177770258767,0.43,0.59,0.5124177770326598,0.43,0.59
moment_1_0_1,0.9657458417353325,0.96,0.97,0.9657458487333798,0.96,0.97,0.9657539380887576,0.96,0.97,0.9991356471856427,1.0,1.0,0.9991356473683333,1.0,1.0,0.999135858546843,1.0,1.0
moment_1_0_2,0.8868770004515362,0.87,0.9,0.8868772679865579,0.87,0.9,0.8869632720998741,0.87,0.9,0.996898622306176,1.0,1.0,0.9968986305508192,1.0,1.0,0.9969012806941269,1.0,1.0
moment_1_0_3,0.9740853149212731,0.97,0.98,0.9740853116000354,0.97,0.98,0.9740801932192472,0.97,0.98,0.9993515397361042,1.0,1.0,0.9993515396508418,1.0,1.0,0.9993514082513929,1.0,1.0
moment_1_1_0,0.10662836465453217,0.09,0.13,0.10663094416665743,0.09,0.13,0.10664356895023062,0.09,0.13,0.8303231150652475,0.8,0.86,0.8303269300601818,0.8,0.86,0.830345599452049,0.8,0.86
moment_1_1_1,0.4650288519004062,0.43,0.51,0.46502901385311524,0.43,0.51,0.46503478586416963,0.43,0.51,0.9727071607097779,0.97,0.98,0.9727071779923605,0.97,0.98,0.9727077939379126,0.97,0.98
moment_1_1_2,0.4746997597274632,0.43,0.52,0.47470502369112405,0.43,0.52,0.4749001390407718,0.43,0.52,0.9737192068813963,0.97,0.98,0.9737197470805512,0.97,0.98,0.9737397622069675,0.97,0.98
moment_1_1_3,0.32542300649106926,0.29,0.37,0.3254171020345881,0.29,0.37,0.3253003628098388,0.29,0.37,0.9518740935231572,0.94,0.96,0.9518728613665931,0.94,0.96,0.9518484914076136,0.94,0.96
moment_1_2_0,0.6564590571731794,0.62,0.69,0.6564582577649735,0.62,0.69,0.6563956339329409,0.62,0.69,0.9873968604859442,0.99,0.99,0.9873968163742793,0.99,0.99,0.9873933604445111,0.99,0.99
moment_1_2_1,0.7679390423225215,0.74,0.8,0.7679383886379492,0.74,0.8,0.767849708525415,0.74,0.8,0.9926835183636005,0.99,0.99,0.9926834917224568,0.99,0.99,0.9926798771261973,0.99,0.99
moment_1_2_2,0.7807533850933064,0.75,0.81,0.7807528580789668,0.75,0.81,0.7806759194973575,0.75,0.81,0.9931974652864379,0.99,0.99,0.993197444485529,0.99,0.99,0.993194407478398,0.99,0.99
moment_1_2_3,0.930369061056685,0.92,0.94,0.9303689998910272,0.92,0.94,0.9303354934077317,0.92,0.94,0.9981779047024429,1.0,1.0,0.99817790298521,1.0,1.0,0.9981769622537584,1.0,1.0
moment_1_3_0,0.031616231366037625,0.02,0.04,0.031628410011381315,0.02,0.04,0.0316447268752548,0.02,0.04,0.5723912801732037,0.5,0.64,0.5724886193193518,0.5,0.64,0.5726189680209358,0.5,0.64
moment_1_3_1,0.05094502776072032,0.04,0.06,0.05093838064599824,0.04,0.06,0.05092375732201502,0.04,0.06,0.6875848886284356,0.63,0.74,0.6875553536694969,0.63,0.74,0.687490360015814,0.63,0.74
moment_1_3_2,0.13144386923697868,0.11,0.16,0.13146325441278311,0.11,0.16,0.13158366306156785,0.11,0.16,0.8612032329871383,0.84,0.88,0.8612235267560278,0.84,0.88,0.8613494664834581,0.84,0.88
moment_1_3_3,0.0717267003970385,0.06,0.09,0.07170745549776382,0.06,0.09,0.07164655526467358,0.06,0.09,0.7600783196902624,0.72,0.8,0.7600255999591208,0.72,0.8,0.7598586307103851,0.72,0.8
moment_2_0_0,0.9917867516558417,0.99,0.99,0.9917867492523929,0.99,0.99,0.9917748500762134,0.99,0.99,0.9997980587293553,1.0,1.0,0.9997980586697838,1.0,1.0,0.9997977637349318,1.0,1.0
moment_2_0_1,0.9613958282278672,0.96,0.97,0.9613958178781027,0.96,0.97,0.9613852502493492,0.96,0.97,0.9990215851824544,1.0,1.0,0.9990215849098757,1.0,1.0,0.9990213065903791,1.0,1.0
moment_2_0_2,0.9888136051881495,0.99,0.99,0.9888136032679138,0.99,0.99,0.9888066440627592,0.99,0.99,0.9997241506043466,1.0,1.0,0.9997241505564723,1.0,1.0,0.9997239770521629,1.0,1.0
moment_2_0_3,0.9885608059129767,0.99,0.99,0.9885608041230478,0.99,0.99,0.9885544621437906,0.99,0.99,0.9997178463783255,1.0,1.0,0.9997178463336779,1.0,1.0,0.9997176881390271,1.0,1.0
moment_2_1_0,0.053505284895046405,0.04,0.07,0.05349347631065394,0.04,0.07,0.053466127261685016,0.04,0.07,0.6985888541229036,0.65,0.75,0.6985397487227621,0.65,0.75,0.6984259623322499,0.65,0.75
moment_2_1_1,0.041001516438360724,0.03,0.05,0.041008484074210906,0.03,0.05,0.04102070360377958,0.03,0.05,0.6367513447750649,0.58,0.69,0.6367923270107103,0.58,0.69,0.6368641789432093,0.58,0.69
moment_2_1_2,0.07770182564218757,0.06,0.09,0.07769588060001617,0.06,0.09,0.0776753524090231,0.06,0.09,0.7754912902982143,0.74,0.81,0.7754768462933268,0.74,0.81,0.7754269583812203,0.74,0.81
moment_2_1_3,0.0705315591421011,0.06,0.09,0.07055431521998036,0.06,0.09,0.07062520871118454,0.06,0.09,0.7567640345230483,0.72,0.79,0.756827914406509,0.72,0.79,0.7570267286694785,0.72,0.79
moment_2_2_0,0.6926587823903929,0.66,0.73,0.6926583133941062,0.66,0.73,0.6926149798376764,0.66,0.73,0.9892936160905775,0.99,0.99,0.9892935927561284,0.99,0.99,0.9892914366060246,0.99,0.99
moment_2_2_1,0.6789449428947116,0.64,0.72,0.6789447640749304,0.64,0.72,0.6789292600511257,0.64,0.72,0.9885980054141356,0.99,0.99,0.9885979961671079,0.99,0.99,0.9885971944139119,0.99,0.99
moment_2_2_2,0.9180020725277757,0.91,0.93,0.9180019834143587,0.91,0.93,0.9179610810563354,0.91,0.93,0.997826146679285,1.0,1.0,0.9978261441113635,1.0,1.0,0.9978249654044108,1.0,1.0
moment_2_2_3,0.9212685605485531,0.91,0.93,0.9212686097037477,0.91,0.93,0.9212921928897293,0.91,0.93,0.9979199499292831,1.0,1.0,0.9979199513359928,1.0,1.0,0.9979206262161501,1.0,1.0
moment_2_3_0,-0.0006614148349121157,-0.0,0.0,-0.0006716627192303418,-0.0,0.0,-0.0006713808161348049,-0.0,0.0,-0.027854955462135657,-0.2,0.13,-0.028298452099942285,-0.2,0.13,-0.028286247211044682,-0.2,0.13
moment_2_3_1,-4.157814681342965e-05,-0.0,0.0,-3.738673148254249e-05,-0.0,0.0,-3.7393157155713985e-05,-0.0,0.0,-0.0017075438797555294,-0.17,0.15,-0.0015351517630542524,-0.17,0.15,-0.0015354160054639418,-0.17,0.15
moment_2_3_2,0.011949953964317323,0.01,0.02,0.011937909144395499,0.01,0.02,0.01193194543484363,0.01,0.02,0.3314943998375171,0.22,0.44,0.33126825953173855,0.22,0.44,0.33115623687605783,0.22,0.44
moment_2_3_3,0.0001980189482030698,-0.0,0.0,0.00022190367370265773,-0.0,0.0,0.0002221212342768154,-0.0,0.0,0.008054975366332153,-0.16,0.16,0.009018005479989748,-0.16,0.16,0.009026769121398357,-0.16,0.16
moment_3_0_0,0.962599250760557,0.96,0.97,0.962599269604678,0.96,0.97,0.9626191549868457,0.96,0.97,0.9990532407449013,1.0,1.0,0.9990532412399846,1.0,1.0,0.9990537636693151,1.0,1.0
moment_3_0_1,0.980490970240848,0.98,0.98,0.9804909821358953,0.98,0.98,0.9805154935758494,0.98,0.98,0.9995149377185735,1.0,1.0,0.9995149380200641,1.0,1.0,0.9995155592691352,1.0,1.0
