,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
moment_0_0_1,-0.016760249739515832,-0.02,-0.02,-0.016744534566330564,-0.02,-0.02,-0.016755152324985673,-0.02,-0.02,-2.0849243532769743,-2.61,-1.6,-2.079004275215051,-2.6,-1.6,-2.08300162841765,-2.61,-1.6
moment_0_0_2,0.9961240514139263,1.0,1.0,0.996124051459483,1.0,1.0,0.9961245314949815,1.0,1.0,0.9999051058345775,1.0,1.0,0.9999051058356969,1.0,1.0,0.9999051176329261,1.0,1.0
moment_0_0_3,0.9970979983230895,1.0,1.0,0.9970979983638203,1.0,1.0,0.9970985721461423,1.0,1.0,0.9999290185069907,1.0,1.0,0.9999290185079899,1.0,1.0,0.9999290325822546,1.0,1.0
moment_0_1_0,-0.016611651872651338,-0.02,-0.02,-0.016595418926341983,-0.02,-0.02,-0.01660629065891642,-0.02,-0.02,-2.0298326811156566,-2.54,-1.56,-2.0239324542677,-2.54,-1.55,-2.0278815043161784,-2.54,-1.56
moment_0_1_1,0.8227275892671909,0.8,0.85,0.8227275910133469,0.8,0.85,0.8227279232763509,0.8,0.85,0.9947721292495019,0.99,1.0,0.9947721293117655,0.99,1.0,0.9947721411594384,0.99,1.0
moment_0_1_2,0.911262594311818,0.9,0.92,0.9112623670077,0.9,0.92,0.9111666735472755,0.9,0.92,0.9976305417351046,1.0,1.0,0.9976305350903961,1.0,1.0,0.9976277374274573,1.0,1.0
moment_0_1_3,0.8109406514075664,0.79,0.84,0.8109410588623871,0.79,0.84,0.8110127215062337,0.79,0.84,0.9943459099556261,0.99,1.0,0.9943459248970586,0.99,1.0,0.9943485525509328,0.99,1.0
moment_0_2_0,0.937660793752577,0.93,0.95,0.9376608946008872,0.93,0.95,0.9377230910835177,0.93,0.95,0.9983810702936075,1.0,1.0,0.998381073082205,1.0,1.0,0.998382792791269,1.0,1.0
moment_0_2_1,0.5887727686191448,0.55,0.63,0.5887714736756359,0.55,0.63,0.5886954684405369,0.55,0.63,0.9832500213268655,0.98,0.99,0.9832499332421853,0.98,0.99,0.9832447625609558,0.98,0.99
moment_0_2_2,0.9843102403100704,0.98,0.99,0.9843102432083588,0.98,0.99,0.9843176981536647,0.98,0.99,0.9996113742072728,1.0,1.0,0.9996113742801775,1.0,1.0,0.999611561803706,1.0,1.0
moment_0_2_3,0.9534909365485157,0.95,0.96,0.9534909562180397,0.95,0.96,0.9535074896960735,0.95,0.96,0.9988117145056158,1.0,1.0,0.99881171503205,1.0,1.0,0.9988121575257853,1.0,1.0
moment_0_3_0,0.2922489062606769,0.26,0.33,0.29225019361998067,0.26,0.33,0.29227199029658024,0.26,0.33,0.9442274599082637,0.93,0.95,0.9442277876725428,0.93,0.95,0.9442333367466627,0.93,0.95
moment_0_3_1,0.8633387959689187,0.84,0.88,0.8633392071820499,0.84,0.88,0.8634457295064044,0.84,0.88,0.9961540235366501,1.0,1.0,0.9961540368894822,1.0,1.0,0.9961574954451786,1.0,1.0
moment_0_3_2,0.5789940252216045,0.54,0.62,0.5789935620259237,0.54,0.62,0.5789674455698931,0.54,0.62,0.9825740836333633,0.98,0.99,0.9825740510974186,0.98,0.99,0.9825722165359084,0.98,0.99
moment_0_3_3,0.8419699969900005,0.82,0.86,0.8419701051985914,0.82,0.86,0.8419937434264397,0.82,0.86,0.9954430371420391,0.99,1.0,0.9954430408311136,0.99,1.0,0.9954438466894494,0.99,1.0
moment_1_0_0,-0.016352392283609768,-0.02,-0.01,-0.01633602034537743,-0.02,-0.01,-0.01634681659283746,-0.02,-0.01,-1.9382472749002815,-2.44,-1.48,-1.9326477579016568,-2.43,-1.48,-1.936337902394314,-2.44,-1.48
moment_1_0_1,0.9595841365519363,0.95,0.97,0.9595841456031043,0.95,0.97,0.9595929565721855,0.95,0.97,0.9989737833988063,1.0,1.0,0.9989737836380622,1.0,1.0,0.9989740165426205,1.0,1.0
moment_1_0_2,0.8433392522573882,0.82,0.86,0.8433390970241363,0.82,0.86,0.8433048365784951,0.82,0.86,0.9954896445330743,0.99,1.0,0.9954896392574989,0.99,1.0,0.9954884748759735,0.99,1.0
moment_1_0_3,0.9192840325937097,0.91,0.93,0.9192841213008416,0.91,0.93,0.9193255453230498,0.91,0.93,0.9978630379043745,1.0,1.0,0.9978630404536517,1.0,1.0,0.9978642308503539,1.0,1.0
moment_1_1_0,0.4765895986753072,0.44,0.52,0.4765871667195908,0.44,0.52,0.47649639369875035,0.44,0.52,0.9739124175069113,0.97,0.98,0.9739121698077146,0.97,0.98,0.9739029226890253,0.97,0.98
moment_1_1_1,0.327253994219597,0.29,0.37,0.32725655395911246,0.29,0.37,0.3273076144058659,0.29,0.37,0.9522541960616485,0.94,0.96,0.9522547246829242,0.94,0.96,0.9522652677597837,0.94,0.96
moment_1_1_2,0.6111590503301569,0.57,0.65,0.6111598496655609,0.57,0.65,0.6112113645027123,0.57,0.65,0.9847191928862743,0.98,0.99,0.9847192434991434,0.98,0.99,0.984722505082836,0.98,0.99
moment_1_1_3,0.6322136985278292,0.59,0.67,0.6322148899817787,0.59,0.67,0.6322988723226465,0.59,0.67,0.9860096380258043,0.98,0.99,0.9860097087107832,0.98,0.99,0.9860146904566397,0.98,0.99
moment_1_2_0,0.5927962975376957,0.55,0.63,0.5927941315655972,0.55,0.63,0.5926648804829813,0.55,0.63,0.9835219268841014,0.98,0.99,0.9835217814629256,0.98,0.99,0.9835131018296481,0.98,0.99
moment_1_2_1,0.6451987012756211,0.61,0.68,0.645198288812815,0.61,0.68,0.6451675380456161,0.61,0.68,0.9867650706406522,0.98,0.99,0.9867650471095771,0.98,0.99,0.9867632926913631,0.98,0.99
moment_1_2_2,0.6893163712478599,0.65,0.72,0.6893158022788296,0.65,0.72,0.6892640487768495,0.65,0.72,0.9891265396798411,0.99,0.99,0.9891265111058016,0.99,0.99,0.9891239118168108,0.99,0.99
moment_1_2_3,0.8268203042371516,0.8,0.85,0.8268197409533993,0.8,0.85,0.8267094938890425,0.8,0.85,0.99491736417583,0.99,1.0,0.9949173442830531,0.99,1.0,0.9949134503209632,0.99,1.0
