,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
moment_0_0_1,0.0033722685393592546,-0.0,0.01,0.0033767965640042826,-0.0,0.01,0.00337742570136372,-0.0,0.01,0.12182935770709075,-0.03,0.26,0.12197347471190288,-0.03,0.26,0.12199349512283095,-0.03,0.26
moment_0_0_2,0.9915167804150237,0.99,0.99,0.9915167839498372,0.99,0.99,0.9915337233165309,0.99,0.99,0.9997913654809144,1.0,1.0,0.9997913655685744,1.0,1.0,0.9997917856415071,1.0,1.0
moment_0_0_3,0.9719426665441153,0.97,0.98,0.9719426779887169,0.97,0.98,0.9719589329543977,0.97,0.98,0.9992964155713903,1.0,1.0,0.9992964158664597,1.0,1.0,0.9992968349518043,1.0,1.0
moment_0_1_0,0.002929071528516277,-0.0,0.01,0.0029365118758453903,-0.0,0.01,0.002937410577760399,-0.0,0.01,0.10749724757816466,-0.04,0.25,0.10774160661567708,-0.04,0.25,0.10777111335440642,-0.04,0.25
moment_0_1_1,0.9663560214294935,0.96,0.97,0.9663561334237064,0.96,0.97,0.9664880406461593,0.96,0.97,0.9991515666964429,1.0,1.0,0.9991515696165589,1.0,1.0,0.9991550084827044,1.0,1.0
moment_0_1_2,0.954546374460156,0.95,0.96,0.9545464552099882,0.95,0.96,0.9546159873600233,0.95,0.96,0.9988399317601248,1.0,1.0,0.9988399339166546,1.0,1.0,0.9988417907316345,1.0,1.0
moment_0_1_3,0.964092750991065,0.96,0.97,0.964092820545972,0.96,0.97,0.9641693948112999,0.96,0.97,0.9990924195690203,1.0,1.0,0.999092421390891,1.0,1.0,0.9990944269662848,1.0,1.0
moment_0_2_0,0.9361698028404,0.93,0.95,0.9361700143645041,0.93,0.95,0.9362972272994545,0.93,0.95,0.9983397783364872,1.0,1.0,0.9983397842035859,1.0,1.0,0.9983433122739908,1.0,1.0
moment_0_2_1,0.8827534479419272,0.87,0.9,0.8827538205082542,0.87,0.9,0.8828688432108626,0.87,0.9,0.9967709692449008,1.0,1.0,0.9967709808308464,1.0,1.0,0.9967745573144993,1.0,1.0
moment_0_2_2,0.9466972024631839,0.94,0.95,0.9466974476500665,0.94,0.95,0.9468760241083763,0.94,0.95,0.9986286160595683,1.0,1.0,0.9986286227138179,1.0,1.0,0.9986334682980691,1.0,1.0
moment_0_2_3,0.8593046614430653,0.84,0.88,0.859305088529752,0.84,0.88,0.8594120485852329,0.84,0.88,0.9960224302581607,1.0,1.0,0.9960224442532563,1.0,1.0,0.9960259487746785,1.0,1.0
moment_0_3_0,0.7423849504281922,0.71,0.77,0.7423838283985204,0.71,0.77,0.7422512820022068,0.71,0.77,0.9916073722377517,0.99,0.99,0.9916073234127468,0.99,0.99,0.9916015546652077,0.99,0.99
moment_0_3_1,0.9296739957772119,0.92,0.94,0.9296742757927636,0.92,0.94,0.9298260688068765,0.92,0.94,0.9981583764579883,1.0,1.0,0.9981583843309061,1.0,1.0,0.9981626514638208,1.0,1.0
moment_0_3_2,0.8750334763674192,0.86,0.89,0.8750338078015701,0.86,0.89,0.8751289689083595,0.86,0.89,0.9965288367901338,1.0,1.0,0.9965288472745353,1.0,1.0,0.996531857228107,1.0,1.0
moment_0_3_3,0.9064679594352816,0.89,0.92,0.9064682332301262,0.89,0.92,0.9065770393765867,0.89,0.92,0.9974896602825334,1.0,1.0,0.9974896683688953,1.0,1.0,0.99749288151504,1.0,1.0
moment_1_0_0,0.0030094120875930144,-0.0,0.01,0.003016042126056081,-0.0,0.01,0.003016864680545168,-0.0,0.01,0.11012895879914623,-0.04,0.25,0.11034546440563467,-0.04,0.25,0.11037231798838905,-0.04,0.25
moment_1_0_1,0.5425361624798263,0.5,0.58,0.5425323053810367,0.5,0.58,0.5423448217533927,0.5,0.58,0.9798486921290924,0.98,0.98,0.9798483852689309,0.98,0.98,0.9798334645572241,0.98,0.98
moment_1_0_2,0.6797071875273069,0.64,0.72,0.6797047606720433,0.64,0.72,0.6794936715002347,0.64,0.72,0.9886373795335994,0.99,0.99,0.9886372543083678,0.99,0.99,0.9886263588494258,0.99,0.99
moment_1_0_3,0.6799654150290517,0.64,0.72,0.6799648904575557,0.64,0.72,0.679919197535155,0.64,0.72,0.9886506990928853,0.99,0.99,0.9886506720450033,0.99,0.99,0.9886483158784705,0.99,0.99
moment_1_1_0,0.4533518049110643,0.41,0.5,0.4533436116210257,0.41,0.5,0.4530651951222264,0.41,0.5,0.9714306400918374,0.97,0.98,0.9714297225311295,0.97,0.98,0.9713985241731549,0.97,0.98
moment_1_1_1,0.636916379903009,0.6,0.68,0.6369155662883315,0.6,0.68,0.6368570552320018,0.6,0.68,0.9862866507341082,0.98,0.99,0.9862866031483571,0.98,0.99,0.9862831807148786,0.98,0.99
moment_1_1_2,0.5352394570856903,0.5,0.58,0.5352339679048862,0.5,0.58,0.534974910770444,0.5,0.58,0.9792606296720001,0.98,0.98,0.9792601815169649,0.98,0.98,0.9792390212362484,0.98,0.98
moment_1_1_3,0.7058182908711275,0.67,0.74,0.7058167463897037,0.67,0.74,0.7056648493311395,0.67,0.74,0.9899365645057197,0.99,0.99,0.9899364904039355,0.99,0.99,0.98992920109205,0.99,0.99
