,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_shape_Elongation,0.9917266969658368,0.99,0.99,0.991726695803288,0.99,0.99,0.9917209822583616,0.99,0.99,0.9997965701338704,1.0,1.0,0.9997965701050524,1.0,1.0,0.999796428472361,1.0,1.0,Original,shape,Elongation
original_shape_Flatness,0.9974769770743324,1.0,1.0,0.997476977046648,1.0,1.0,0.9974765283009784,1.0,1.0,0.9999383110088972,1.0,1.0,0.9999383110082186,1.0,1.0,0.9999383000091158,1.0,1.0,Original,shape,Flatness
original_shape_LeastAxisLength,0.9994872884261036,1.0,1.0,0.9994872884255572,1.0,1.0,0.999487244758156,1.0,1.0,0.9999874885813692,1.0,1.0,0.999987488581356,1.0,1.0,0.9999874875152308,1.0,1.0,Original,shape,LeastAxisLength
original_shape_MajorAxisLength,0.9965263824358344,1.0,1.0,0.9965263823476436,1.0,1.0,0.9965253450257971,1.0,1.0,0.9999149895288098,1.0,1.0,0.999914989526644,1.0,1.0,0.999914964053728,1.0,1.0,Original,shape,MajorAxisLength
original_shape_Maximum2DDiameterColumn,0.7533814073962151,0.72,0.78,0.7533821698582677,0.72,0.78,0.7534776793792914,0.72,0.78,0.9920791211653952,0.99,0.99,0.9920791534129488,0.99,0.99,0.9920831923910371,0.99,0.99,Original,shape,Maximum2DDiameterColumn
original_shape_Maximum2DDiameterRow,0.9661092350171292,0.96,0.97,0.9661094726717048,0.96,0.97,0.9663873159447284,0.96,0.97,0.9991451304309992,1.0,1.0,0.9991451366306456,1.0,1.0,0.9991523826380804,1.0,1.0,Original,shape,Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice,0.9923801912594158,0.99,0.99,0.9923802068976656,0.99,0.99,0.9924637176836316,0.99,0.99,0.9998127590647516,1.0,1.0,0.9998127594519072,1.0,1.0,0.9998148267553578,1.0,1.0,Original,shape,Maximum2DDiameterSlice
original_shape_Maximum3DDiameter,0.9975266426356748,1.0,1.0,0.9975266443819296,1.0,1.0,0.9975555206906638,1.0,1.0,0.9999395282904816,1.0,1.0,0.9999395283332796,1.0,1.0,0.9999402360248448,1.0,1.0,Original,shape,Maximum3DDiameter
original_shape_MeshVolume,0.9996868148245232,1.0,1.0,0.999686814826281,1.0,1.0,0.999687044833979,1.0,1.0,0.9999923590025034,1.0,1.0,0.9999923590025462,1.0,1.0,0.9999923646159188,1.0,1.0,Original,shape,MeshVolume
original_shape_MinorAxisLength,0.9985258199886604,1.0,1.0,0.9985258200775804,1.0,1.0,0.9985282894788944,1.0,1.0,0.9999639926032508,1.0,1.0,0.9999639926054258,1.0,1.0,0.9999640530082012,1.0,1.0,Original,shape,MinorAxisLength
original_shape_Sphericity,0.9381795406146656,0.93,0.95,0.938193314145132,0.93,0.95,0.9468424882786216,0.94,0.95,0.9983954066511348,1.0,1.0,0.9983957870931206,1.0,1.0,0.9986325584556522,1.0,1.0,Original,shape,Sphericity
original_shape_SurfaceArea,0.9957525843154816,1.0,1.0,0.9957526358366536,0.99,1.0,0.9962481000946062,1.0,1.0,0.9998959734280916,1.0,1.0,0.999895974695185,1.0,1.0,0.9999081540542144,1.0,1.0,Original,shape,SurfaceArea
original_shape_SurfaceVolumeRatio,0.9952506031701276,0.99,1.0,0.9952506641640708,0.99,1.0,0.9957749804150312,1.0,1.0,0.9998836218078404,1.0,1.0,0.99988362330938,1.0,1.0,0.999896524217726,1.0,1.0,Original,shape,SurfaceVolumeRatio
original_shape_VoxelVolume,0.9996874929568064,1.0,1.0,0.9996874929586008,1.0,1.0,0.9996877283478508,1.0,1.0,0.9999923755524164,1.0,1.0,0.99999237555246,1.0,1.0,0.9999923812971624,1.0,1.0,Original,shape,VoxelVolume
original_firstorder_10Percentile,0.9969656432395364,1.0,1.0,0.9969656445383396,1.0,1.0,0.996983140927484,1.0,1.0,0.9999257715564966,1.0,1.0,0.9999257715883632,1.0,1.0,0.9999262008600802,1.0,1.0,Original,firstorder,10Percentile
original_firstorder_90Percentile,0.9999189942670978,1.0,1.0,0.9999189942670994,1.0,1.0,0.9999189949537908,1.0,1.0,0.9999980240942612,1.0,1.0,0.9999980240942614,1.0,1.0,0.9999980241110126,1.0,1.0,Original,firstorder,90Percentile
original_firstorder_Energy,0.9999280672952834,1.0,1.0,0.9999280672957686,1.0,1.0,0.9999283437637831,1.0,1.0,0.999998245420654,1.0,1.0,0.999998245420666,1.0,1.0,0.9999982521647328,1.0,1.0,Original,firstorder,Energy
original_firstorder_Entropy,0.8746696155590462,0.86,0.89,0.8746770653897017,0.86,0.89,0.8768139513076476,0.86,0.89,0.9965173219625998,1.0,1.0,0.9965175578151476,1.0,1.0,0.9965850481545075,1.0,1.0,Original,firstorder,Entropy
original_firstorder_InterquartileRange,0.9994101785970202,1.0,1.0,0.99941017860013,1.0,1.0,0.9994103946412252,1.0,1.0,0.9999856058292051,1.0,1.0,0.9999856058292812,1.0,1.0,0.9999856111046448,1.0,1.0,Original,firstorder,InterquartileRange
original_firstorder_Kurtosis,0.8009984535535535,0.77,0.83,0.8009991477212524,0.77,0.83,0.8011137216952825,0.78,0.83,0.9939769394969712,0.99,0.99,0.9939769655686768,0.99,0.99,0.9939812681631598,0.99,0.99,Original,firstorder,Kurtosis
original_firstorder_Maximum,0.9167062281151356,0.9,0.93,0.916708294077195,0.9,0.93,0.9176414768317196,0.91,0.93,0.9977887538226335,1.0,1.0,0.9977888135198908,1.0,1.0,0.997815751661886,1.0,1.0,Original,firstorder,Maximum
original_firstorder_MeanAbsoluteDeviation,0.998331114643624,1.0,1.0,0.9983311163700658,1.0,1.0,0.99837346138971,1.0,1.0,0.9999592290967094,1.0,1.0,0.9999592291389552,1.0,1.0,0.9999602652728536,1.0,1.0,Original,firstorder,MeanAbsoluteDeviation
original_firstorder_Mean,0.9998243388255338,1.0,1.0,0.9998243388353856,1.0,1.0,0.9998266379131504,1.0,1.0,0.999995714846735,1.0,1.0,0.9999957148469752,1.0,1.0,0.9999957709411416,1.0,1.0,Original,firstorder,Mean
original_firstorder_Median,0.9999190830645264,1.0,1.0,0.9999190830647364,1.0,1.0,0.999919189498303,1.0,1.0,0.9999980262603944,1.0,1.0,0.9999980262603996,1.0,1.0,0.9999980288567496,1.0,1.0,Original,firstorder,Median
original_firstorder_Minimum,0.8806792317752836,0.86,0.9,0.8806808699826258,0.86,0.9,0.8811768906621595,0.86,0.9,0.9967063181963766,1.0,1.0,0.9967063693743564,1.0,1.0,0.9967218566661136,1.0,1.0,Original,firstorder,Minimum
original_firstorder_Range,0.9127847290611152,0.9,0.93,0.9127876941522056,0.9,0.93,0.9140617982748678,0.9,0.93,0.997674965580155,1.0,1.0,0.9976750519762728,1.0,1.0,0.9977121260314548,1.0,1.0,Original,firstorder,Range
original_firstorder_RobustMeanAbsoluteDeviation,0.9995758738718968,1.0,1.0,0.9995758738787608,1.0,1.0,0.9995765371466048,1.0,1.0,0.9999896511781382,1.0,1.0,0.9999896511783056,1.0,1.0,0.999989667368956,1.0,1.0,Original,firstorder,RobustMeanAbsoluteDeviation
original_firstorder_RootMeanSquared,0.998182637971337,1.0,1.0,0.9981826395772936,1.0,1.0,0.9982188057064524,1.0,1.0,0.9999555953658414,1.0,1.0,0.9999555954051504,1.0,1.0,0.9999564806109013,1.0,1.0,Original,firstorder,RootMeanSquared
original_firstorder_Skewness,0.9057234248863426,0.89,0.92,0.9057234005984298,0.89,0.92,0.9057138339183176,0.89,0.92,0.997467653316957,1.0,1.0,0.99746765259848,1.0,1.0,0.9974673695972494,1.0,1.0,Original,firstorder,Skewness
original_firstorder_TotalEnergy,0.9999280672952832,1.0,1.0,0.9999280672957686,1.0,1.0,0.999928343763783,1.0,1.0,0.999998245420654,1.0,1.0,0.999998245420666,1.0,1.0,0.999998252164733,1.0,1.0,Original,firstorder,TotalEnergy
original_firstorder_Uniformity,0.8402043249847013,0.82,0.86,0.8402109142031279,0.82,0.86,0.8416338192463956,0.82,0.86,0.9953827185555816,0.99,1.0,0.995382944112996,0.99,1.0,0.9954315716385465,0.99,1.0,Original,firstorder,Uniformity
original_firstorder_Variance,0.9903689874520396,0.99,0.99,0.990368994561743,0.99,0.99,0.990398970554493,0.99,0.99,0.9997628691473992,1.0,1.0,0.9997628693241116,1.0,1.0,0.9997636143593815,1.0,1.0,Original,firstorder,Variance
original_glcm_Autocorrelation,0.8220192902386686,0.8,0.85,0.8220229294980518,0.8,0.85,0.8227126483664786,0.8,0.85,0.9947468519367728,0.99,1.0,0.9947469819203296,0.99,1.0,0.994771596484518,0.99,1.0,Original,glcm,Autocorrelation
original_glcm_ClusterProminence,0.9417911552133282,0.93,0.95,0.94179118399898,0.93,0.95,0.9418102796456316,0.93,0.95,0.9984947926842114,1.0,1.0,0.9984947934733888,1.0,1.0,0.9984953169825704,1.0,1.0,Original,glcm,ClusterProminence
original_glcm_ClusterShade,0.9502670699502084,0.94,0.96,0.9502670898941932,0.94,0.96,0.9502827143382436,0.94,0.96,0.9987251458707528,1.0,1.0,0.9987251464080674,1.0,1.0,0.9987255673424016,1.0,1.0,Original,glcm,ClusterShade
original_glcm_ClusterTendency,0.9575229318600462,0.95,0.96,0.957523300868519,0.95,0.96,0.9578644699968496,0.95,0.96,0.9989191837980936,1.0,1.0,0.9989191935933242,1.0,1.0,0.998928246688903,1.0,1.0,Original,glcm,ClusterTendency
