,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_shape_Elongation,0.9967915337376164,1.0,1.0,0.9967915336450748,1.0,1.0,0.9967903548778084,1.0,1.0,0.9999214990006168,1.0,1.0,0.9999214989983456,1.0,1.0,0.9999214700670528,1.0,1.0,Original,shape,Elongation
original_shape_Flatness,0.9972001139444344,1.0,1.0,0.997200114040276,1.0,1.0,0.9972015135654904,1.0,1.0,0.9999315230448184,1.0,1.0,0.9999315230471688,1.0,1.0,0.9999315573691347,1.0,1.0,Original,shape,Flatness
original_shape_LeastAxisLength,0.998090750490925,1.0,1.0,0.9980907506534716,1.0,1.0,0.998094234589826,1.0,1.0,0.9999533460372856,1.0,1.0,0.9999533460412652,1.0,1.0,0.999953431332478,1.0,1.0,Original,shape,LeastAxisLength
original_shape_MajorAxisLength,0.9988754182031367,1.0,1.0,0.9988754181961168,1.0,1.0,0.99887516253972,1.0,1.0,0.9999725410490166,1.0,1.0,0.999972541048845,1.0,1.0,0.9999725347996165,1.0,1.0,Original,shape,MajorAxisLength
original_shape_Maximum2DDiameterColumn,0.972604952720746,0.97,0.98,0.972605234779689,0.97,0.98,0.9730159791776944,0.97,0.98,0.9993134795691286,1.0,1.0,0.9993134868316332,1.0,1.0,0.9993240583972278,1.0,1.0,Original,shape,Maximum2DDiameterColumn
original_shape_Maximum2DDiameterRow,0.9993014574023844,1.0,1.0,0.9993014576158268,1.0,1.0,0.9993139767346442,1.0,1.0,0.9999829507565235,1.0,1.0,0.9999829507617368,1.0,1.0,0.9999832565189742,1.0,1.0,Original,shape,Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice,0.9922596415384388,0.99,0.99,0.9922596577892508,0.99,0.99,0.9923450779870558,0.99,0.99,0.9998097742664336,1.0,1.0,0.9998097746688498,1.0,1.0,0.9998118897368606,1.0,1.0,Original,shape,Maximum2DDiameterSlice
original_shape_Maximum3DDiameter,0.9998149309750008,1.0,1.0,0.999814930982526,1.0,1.0,0.9998165978320824,1.0,1.0,0.9999954853061904,1.0,1.0,0.999995485306374,1.0,1.0,0.9999955259758598,1.0,1.0,Original,shape,Maximum3DDiameter
original_shape_MeshVolume,0.9993872802233652,1.0,1.0,0.9993872802133874,1.0,1.0,0.9993866129695308,1.0,1.0,0.9999850466764753,1.0,1.0,0.9999850466762316,1.0,1.0,0.9999850303825064,1.0,1.0,Original,shape,MeshVolume
original_shape_MinorAxisLength,0.9981683451251055,1.0,1.0,0.9981683450573292,1.0,1.0,0.9981668307162124,1.0,1.0,0.999955245515471,1.0,1.0,0.9999552455138122,1.0,1.0,0.9999552084462486,1.0,1.0,Original,shape,MinorAxisLength
original_shape_Sphericity,0.9631336467623436,0.96,0.97,0.9631389555529876,0.96,0.97,0.9688591384564982,0.96,0.97,0.9990672731022152,1.0,1.0,0.9990674124261608,1.0,1.0,0.9992166681288492,1.0,1.0,Original,shape,Sphericity
original_shape_SurfaceArea,0.978929046209036,0.98,0.98,0.9789306557921792,0.98,0.98,0.9820062378858638,0.98,0.98,0.9994752877738092,1.0,1.0,0.9994753286971002,1.0,1.0,0.9995532857335644,1.0,1.0,Original,shape,SurfaceArea
original_shape_SurfaceVolumeRatio,0.983006336725129,0.98,0.99,0.9830073223064276,0.98,0.99,0.9853503638208712,0.98,0.99,0.99957853282624,1.0,1.0,0.9995785576821334,1.0,1.0,0.9996375109886702,1.0,1.0,Original,shape,SurfaceVolumeRatio
original_shape_VoxelVolume,0.9993901935896904,1.0,1.0,0.9993901935796476,1.0,1.0,0.9993895187631836,1.0,1.0,0.9999851178190172,1.0,1.0,0.9999851178187724,1.0,1.0,0.999985101340222,1.0,1.0,Original,shape,VoxelVolume
original_firstorder_10Percentile,0.9992647213394438,1.0,1.0,0.9992647213375688,1.0,1.0,0.999264616868374,1.0,1.0,0.9999820535003004,1.0,1.0,0.9999820535002546,1.0,1.0,0.9999820509485656,1.0,1.0,Original,firstorder,10Percentile
original_firstorder_90Percentile,0.9955726813854656,0.99,1.0,0.9955726828447236,0.99,1.0,0.9955861369233774,0.99,1.0,0.999891548179388,1.0,1.0,0.9998915482152888,1.0,1.0,0.9998918792124216,1.0,1.0,Original,firstorder,90Percentile
original_firstorder_Energy,0.9681905041754272,0.96,0.97,0.968192246849274,0.96,0.97,0.9703718698534866,0.97,0.97,0.9991993103112936,1.0,1.0,0.9991993555816704,1.0,1.0,0.9992558527359512,1.0,1.0,Original,firstorder,Energy
original_firstorder_Entropy,0.8718713344736253,0.85,0.89,0.8719533982805991,0.85,0.89,0.8954680921623042,0.88,0.91,0.9964284546567214,1.0,1.0,0.996431068716478,1.0,1.0,0.997160903546582,1.0,1.0,Original,firstorder,Entropy
original_firstorder_InterquartileRange,0.9988933848836736,1.0,1.0,0.9988933848983464,1.0,1.0,0.9988939279243932,1.0,1.0,0.999972980216186,1.0,1.0,0.9999729802165446,1.0,1.0,0.99997299348972,1.0,1.0,Original,firstorder,InterquartileRange
original_firstorder_Kurtosis,0.7147178615505729,0.68,0.75,0.71527038107105,0.67,0.76,0.77696670841654,0.75,0.8,0.9903584138873088,0.99,0.99,0.9903842695111956,0.99,0.99,0.9930473020499868,0.99,0.99,Original,firstorder,Kurtosis
original_firstorder_Maximum,0.6307619263008792,0.59,0.67,0.6322253687309407,0.57,0.69,0.7548958470906676,0.72,0.78,0.9859233183991798,0.98,0.99,0.9860103303688956,0.98,0.99,0.992143048529375,0.99,0.99,Original,firstorder,Maximum
original_firstorder_MeanAbsoluteDeviation,0.990784077490705,0.99,0.99,0.9907841503467074,0.99,0.99,0.9911053907918566,0.99,0.99,0.9997731820493764,1.0,1.0,0.9997731838587424,1.0,1.0,0.999781159285032,1.0,1.0,Original,firstorder,MeanAbsoluteDeviation
original_firstorder_Mean,0.9946565970829508,0.99,1.0,0.9946566160411092,0.99,1.0,0.9948013260047072,0.99,1.0,0.9998689901352,1.0,1.0,0.999868990602453,1.0,1.0,0.9998725566965172,1.0,1.0,Original,firstorder,Mean
original_firstorder_Median,0.998589111815774,1.0,1.0,0.9985891121223404,1.0,1.0,0.9985980083644352,1.0,1.0,0.9999655406606044,1.0,1.0,0.9999655406681024,1.0,1.0,0.9999657582463012,1.0,1.0,Original,firstorder,Median
original_firstorder_Minimum,0.9504469878947996,0.94,0.96,0.9504471049553144,0.94,0.96,0.9505391698894432,0.94,0.96,0.9987299921799916,1.0,1.0,0.9987299953325772,1.0,1.0,0.9987324745218544,1.0,1.0,Original,firstorder,Minimum
original_firstorder_Range,0.775347194622536,0.75,0.8,0.7758445199386589,0.73,0.81,0.8532925805973819,0.83,0.87,0.9929826453167172,0.99,0.99,0.9930025281287276,0.99,0.99,0.9958240732461036,1.0,1.0,Original,firstorder,Range
original_firstorder_RobustMeanAbsoluteDeviation,0.999135114949806,1.0,1.0,0.999135114991126,1.0,1.0,0.9991370720889272,1.0,1.0,0.9999788874280948,1.0,1.0,0.9999788874291043,1.0,1.0,0.999978935243763,1.0,1.0,Original,firstorder,RobustMeanAbsoluteDeviation
original_firstorder_RootMeanSquared,0.9712479327722972,0.97,0.98,0.9712495147569976,0.97,0.98,0.9734454963764478,0.97,0.98,0.9992784911696706,1.0,1.0,0.9992785320138898,1.0,1.0,0.9993351038258992,1.0,1.0,Original,firstorder,RootMeanSquared
original_firstorder_Skewness,0.94172764838699,0.93,0.95,0.941743713475454,0.93,0.95,0.952510201688294,0.94,0.96,0.9984930514889524,1.0,1.0,0.9984934919743332,1.0,1.0,0.9987854398289224,1.0,1.0,Original,firstorder,Skewness
original_firstorder_TotalEnergy,0.968190504175427,0.96,0.97,0.968192246849274,0.96,0.97,0.9703718698534864,0.97,0.97,0.9991993103112936,1.0,1.0,0.9991993555816704,1.0,1.0,0.999255852735951,1.0,1.0,Original,firstorder,TotalEnergy
original_firstorder_Uniformity,0.8291435092229391,0.81,0.85,0.8292927496137491,0.8,0.85,0.8600952006964026,0.84,0.88,0.99499918664334,0.99,1.0,0.9950044276255584,0.99,1.0,0.9960483121139534,1.0,1.0,Original,firstorder,Uniformity
original_firstorder_Variance,0.972425984769411,0.97,0.98,0.972427369883407,0.97,0.98,0.9744342521923792,0.97,0.98,0.9993088706417408,1.0,1.0,0.9993089063186672,1.0,1.0,0.9993604945059784,1.0,1.0,Original,firstorder,Variance
original_glcm_Autocorrelation,0.9211267977035816,0.91,0.93,0.9211478024942988,0.91,0.93,0.9313166115171102,0.92,0.94,0.9979158923918058,1.0,1.0,0.9979164936678544,1.0,1.0,0.998204480930904,1.0,1.0,Original,glcm,Autocorrelation
original_glcm_ClusterProminence,0.8745506152022497,0.86,0.89,0.8745546856434047,0.86,0.89,0.8757196748685689,0.86,0.89,0.9965135540269308,1.0,1.0,0.996513682926712,1.0,1.0,0.9965505270785396,1.0,1.0,Original,glcm,ClusterProminence
