,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_shape_Elongation,0.9745706116218008,0.97,0.98,0.9745706242597306,0.97,0.98,0.9745904827420186,0.97,0.98,0.9993639921961855,1.0,1.0,0.9993639925203108,1.0,1.0,0.9993645018210788,1.0,1.0,Original,shape,Elongation
original_shape_Flatness,0.9832345367779216,0.98,0.99,0.9832345740288392,0.98,0.99,0.9833241521563744,0.98,0.99,0.9995842866265112,1.0,1.0,0.9995842875655372,1.0,1.0,0.9995865454623902,1.0,1.0,Original,shape,Flatness
original_shape_LeastAxisLength,0.9617921411537504,0.96,0.97,0.961792154044052,0.96,0.97,0.96180545802061,0.96,0.97,0.9990320185667072,1.0,1.0,0.9990320189059224,1.0,1.0,0.9990323690027008,1.0,1.0,Original,shape,LeastAxisLength
original_shape_MajorAxisLength,0.9984387869519756,1.0,1.0,0.9984387871727448,1.0,1.0,0.998444575915074,1.0,1.0,0.9999618635460196,1.0,1.0,0.9999618635514204,1.0,1.0,0.9999620051705403,1.0,1.0,Original,shape,MajorAxisLength
original_shape_Maximum2DDiameterColumn,0.7010157638105264,0.67,0.74,0.701014321439407,0.67,0.74,0.7008756926017129,0.67,0.74,0.9897046231262168,0.99,0.99,0.9897045530049662,0.99,0.99,0.9896978122271132,0.99,0.99,Original,shape,Maximum2DDiameterColumn
original_shape_Maximum2DDiameterRow,0.906164061580428,0.89,0.92,0.9061647148603156,0.89,0.92,0.9064234438380876,0.89,0.92,0.9974806819149488,1.0,1.0,0.9974807012217554,1.0,1.0,0.9974883454786064,1.0,1.0,Original,shape,Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice,0.994835697181536,0.99,1.0,0.9948357200356872,0.99,1.0,0.9950162575402474,0.99,1.0,0.999873403558222,1.0,1.0,0.9998734041213,1.0,1.0,0.9998778513964138,1.0,1.0,Original,shape,Maximum2DDiameterSlice
original_shape_Maximum3DDiameter,0.997355530759254,1.0,1.0,0.9973555357419004,1.0,1.0,0.9974325886373472,1.0,1.0,0.9999353339136636,1.0,1.0,0.9999353340358212,1.0,1.0,0.9999372229672844,1.0,1.0,Original,shape,Maximum3DDiameter
original_shape_MeshVolume,0.9878881654017282,0.99,0.99,0.9878881646251296,0.99,0.99,0.9878855675941725,0.99,0.99,0.999701056962358,1.0,1.0,0.9997010569429609,1.0,1.0,0.9997009920766616,1.0,1.0,Original,shape,MeshVolume
original_shape_MinorAxisLength,0.9519631604480274,0.94,0.96,0.9519631189097209,0.94,0.96,0.951929369751343,0.94,0.96,0.9987707612350004,1.0,1.0,0.9987707601197912,1.0,1.0,0.998769854000272,1.0,1.0,Original,shape,MinorAxisLength
