,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_shape_Elongation,0.9753312892524156,0.97,0.98,0.9753313582716002,0.97,0.98,0.9754432528996568,0.97,0.98,0.9993834864756148,1.0,1.0,0.9993834882430604,1.0,1.0,0.9993863533231604,1.0,1.0,Original,shape,Elongation
original_shape_Flatness,0.9849681350238768,0.98,0.99,0.9849681787630664,0.98,0.99,0.9850856998338045,0.98,0.99,0.9996279123950834,1.0,1.0,0.9996279134938848,1.0,1.0,0.999630865475854,1.0,1.0,Original,shape,Flatness
original_shape_LeastAxisLength,0.974772316130576,0.97,0.98,0.9747723155723076,0.97,0.98,0.9747714311644724,0.97,0.98,0.9993691642721448,1.0,1.0,0.9993691642578328,1.0,1.0,0.9993691415845384,1.0,1.0,Original,shape,LeastAxisLength
original_shape_MajorAxisLength,0.996616616028846,1.0,1.0,0.996616617448797,1.0,1.0,0.9966337665576682,1.0,1.0,0.9999172051453044,1.0,1.0,0.999917205180167,1.0,1.0,0.9999176262190884,1.0,1.0,Original,shape,MajorAxisLength
original_shape_Maximum2DDiameterColumn,0.8245151081701928,0.8,0.85,0.8245147228201374,0.8,0.85,0.8244404963400902,0.8,0.85,0.994835733639635,0.99,1.0,0.9948357199567625,0.99,1.0,0.9948330841178302,0.99,1.0,Original,shape,Maximum2DDiameterColumn
original_shape_Maximum2DDiameterRow,0.8910553331328582,0.87,0.91,0.8910563299909052,0.87,0.91,0.8913907400393547,0.88,0.91,0.9970267989572597,1.0,1.0,0.9970268293978664,1.0,1.0,0.9970370373898588,1.0,1.0,Original,shape,Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice,0.9919329343444996,0.99,0.99,0.9919329896363112,0.99,0.99,0.9922118157713284,0.99,0.99,0.999801681473206,1.0,1.0,0.9998016828432674,1.0,1.0,0.9998085899094976,1.0,1.0,Original,shape,Maximum2DDiameterSlice
original_shape_Maximum3DDiameter,0.996438111875116,1.0,1.0,0.9964381197207676,1.0,1.0,0.9965281155048143,1.0,1.0,0.9999128217342912,1.0,1.0,0.9999128219269856,1.0,1.0,0.9999150320866728,1.0,1.0,Original,shape,Maximum3DDiameter
original_shape_MeshVolume,0.9883742736202422,0.99,0.99,0.9883742715611852,0.99,0.99,0.9883670944388704,0.99,0.99,0.9997131926800792,1.0,1.0,0.9997131926286992,1.0,1.0,0.9997130135361368,1.0,1.0,Original,shape,MeshVolume
original_shape_MinorAxisLength,0.9558341848447802,0.95,0.96,0.955834203814662,0.95,0.96,0.9558510364627304,0.95,0.96,0.9988742792656078,1.0,1.0,0.9988742797708938,1.0,1.0,0.9988747281213954,1.0,1.0,Original,shape,MinorAxisLength
original_shape_Sphericity,0.8741797024386934,0.86,0.89,0.8742333556912443,0.85,0.89,0.8897900292435017,0.87,0.91,0.9965018033319684,1.0,1.0,0.9965035036925404,1.0,1.0,0.9969881074554442,1.0,1.0,Original,shape,Sphericity
original_shape_SurfaceArea,0.9857404557009464,0.98,0.99,0.9857408331259296,0.98,0.99,0.9868117189085744,0.98,0.99,0.999647299556018,1.0,1.0,0.9996473090230764,1.0,1.0,0.9996741419167972,1.0,1.0,Original,shape,SurfaceArea
