,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_shape_Elongation,0.991565041511694,0.99,0.99,0.991565042161288,0.99,0.99,0.9915681730343254,0.99,0.99,0.9997925622526876,1.0,1.0,0.9997925622687954,1.0,1.0,0.9997926399038122,1.0,1.0,Original,shape,Elongation
original_shape_Flatness,0.990161865996896,0.99,0.99,0.9901618673338066,0.99,0.99,0.9901673840685395,0.99,0.99,0.9997577200658182,1.0,1.0,0.9997577200990608,1.0,1.0,0.9997578572734463,1.0,1.0,Original,shape,Flatness
original_shape_LeastAxisLength,0.9887874105511448,0.99,0.99,0.9887874135059962,0.99,0.99,0.9887980971938664,0.99,0.99,0.9997234975170296,1.0,1.0,0.9997234975907024,1.0,1.0,0.9997237639615536,1.0,1.0,Original,shape,LeastAxisLength
original_shape_MajorAxisLength,0.9941671675096236,0.99,1.0,0.9941671676526675,0.99,1.0,0.9941681672706948,0.99,1.0,0.9998569215954868,1.0,1.0,0.9998569215990158,1.0,1.0,0.9998569462597884,1.0,1.0,Original,shape,MajorAxisLength
original_shape_Maximum2DDiameterColumn,0.9378748000143932,0.93,0.95,0.9378748687451544,0.93,0.95,0.937917412107396,0.93,0.95,0.9983869865535822,1.0,1.0,0.9983869884532398,1.0,1.0,0.9983881642622722,1.0,1.0,Original,shape,Maximum2DDiameterColumn
original_shape_Maximum2DDiameterRow,0.9724781851046572,0.97,0.98,0.9724781743634958,0.97,0.98,0.9724626135984088,0.97,0.98,0.999310215117826,1.0,1.0,0.9993102148411904,1.0,1.0,0.9993098140715708,1.0,1.0,Original,shape,Maximum2DDiameterRow
original_shape_Maximum2DDiameterSlice,0.9885829935618772,0.99,0.99,0.988583023717155,0.99,0.99,0.9886900905920574,0.99,0.99,0.9997183998125796,1.0,1.0,0.9997184005647368,1.0,1.0,0.999721070830402,1.0,1.0,Original,shape,Maximum2DDiameterSlice
original_shape_Maximum3DDiameter,0.998678578611994,1.0,1.0,0.9986785787829584,1.0,1.0,0.9986838763504388,1.0,1.0,0.9999677286060388,1.0,1.0,0.9999677286102194,1.0,1.0,0.9999678581523076,1.0,1.0,Original,shape,Maximum3DDiameter
original_shape_MeshVolume,0.9959155611275856,1.0,1.0,0.9959155613634146,1.0,1.0,0.9959179189752992,1.0,1.0,0.999899980982073,1.0,1.0,0.999899980987871,1.0,1.0,0.999900038951496,1.0,1.0,Original,shape,MeshVolume
original_shape_MinorAxisLength,0.9926928900239094,0.99,0.99,0.9926928915788774,0.99,0.99,0.992701552784953,0.99,0.99,0.9998204981569656,1.0,1.0,0.9998204981954384,1.0,1.0,0.9998207124869988,1.0,1.0,Original,shape,MinorAxisLength
original_shape_Sphericity,0.915279362277898,0.9,0.93,0.9153031639886204,0.9,0.93,0.9259691082885146,0.91,0.94,0.9977474609908256,1.0,1.0,0.997748150829034,1.0,1.0,0.9980538039809536,1.0,1.0,Original,shape,Sphericity
original_shape_SurfaceArea,0.9889836666902908,0.99,0.99,0.9889839312894628,0.99,0.99,0.98995881406348,0.99,0.99,0.9997283897741256,1.0,1.0,0.999728396368754,1.0,1.0,0.9997526701133734,1.0,1.0,Original,shape,SurfaceArea
original_shape_SurfaceVolumeRatio,0.9710112438593248,0.97,0.98,0.9710129424054792,0.97,0.98,0.9733512477272924,0.97,0.98,0.9992723787929252,1.0,1.0,0.9992724226674076,1.0,1.0,0.9993326809493812,1.0,1.0,Original,shape,SurfaceVolumeRatio
original_shape_VoxelVolume,0.9959269720389978,1.0,1.0,0.99592697226586,1.0,1.0,0.9959292466156814,1.0,1.0,0.9999002615252474,1.0,1.0,0.9999002615308248,1.0,1.0,0.9999003174461448,1.0,1.0,Original,shape,VoxelVolume
original_firstorder_10Percentile,0.9993344006750622,1.0,1.0,0.9993344007120936,1.0,1.0,0.999336680271819,1.0,1.0,0.9999837553213944,1.0,1.0,0.9999837553222988,1.0,1.0,0.9999838109934712,1.0,1.0,Original,firstorder,10Percentile
original_firstorder_90Percentile,0.998325173038616,1.0,1.0,0.9983251730177044,1.0,1.0,0.998324661954652,1.0,1.0,0.9999590837056122,1.0,1.0,0.9999590837051004,1.0,1.0,0.9999590711993068,1.0,1.0,Original,firstorder,90Percentile
