,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_0_0_1,0.0012519086288187,-0.0,0.01,0.0012725225324687,-0.0,0.01,0.0012736002905441,-0.0,0.01,0.0488804971357598,-0.11,0.2,0.049646378423255,-0.11,0.2,0.0496863879853411,-0.11,0.2,Original,Moment,x1-y0-z0
moment_0_0_2,0.9903232282487416,0.99,0.99,0.9903232279934004,0.99,0.99,0.9903221565971168,0.99,0.99,0.9997617317450732,1.0,1.0,0.999761731738726,1.0,1.0,0.9997617051066008,1.0,1.0,Original,Moment,x2-y0-z0
moment_0_0_3,0.980335293636095,0.98,0.98,0.980335292692038,0.98,0.98,0.9803333630877952,0.98,0.98,0.999510991345664,1.0,1.0,0.9995109913217286,1.0,1.0,0.9995109423989522,1.0,1.0,Original,Moment,x3-y0-z0
moment_0_1_0,0.0012997472767708,-0.0,0.01,0.0013204917405486,-0.0,0.01,0.001321617269356,-0.0,0.01,0.0506560365265121,-0.11,0.2,0.0514239645445974,-0.11,0.2,0.051465595264433,-0.11,0.2,Original,Moment,x0-y1-z0
moment_0_1_1,0.9463098749459784,0.94,0.95,0.9463099528282212,0.94,0.95,0.946366237109808,0.94,0.95,0.9986180999895372,1.0,1.0,0.9986181021049088,1.0,1.0,0.9986196307622918,1.0,1.0,Original,Moment,x1-y1-z0
moment_0_1_2,0.9203849342254722,0.91,0.93,0.9203849314277855,0.91,0.93,0.9203836053881164,0.91,0.93,0.997894638921876,1.0,1.0,0.9978946388416629,1.0,1.0,0.9978946008224038,1.0,1.0,Original,Moment,x2-y1-z0
moment_0_1_3,0.936569573642288,0.93,0.95,0.9365696512410348,0.93,0.95,0.9366166301362092,0.93,0.95,0.9983508622751692,1.0,1.0,0.9983508644257568,1.0,1.0,0.9983521663447414,1.0,1.0,Original,Moment,x3-y1-z0
moment_0_2_0,0.7546806634536751,0.72,0.78,0.7546892549703721,0.72,0.78,0.7557744658240424,0.73,0.79,0.9921339803574306,0.99,0.99,0.992134342513193,0.99,0.99,0.9921800230134896,0.99,0.99,Original,Moment,x0-y2-z0
moment_0_2_1,0.8211729653739339,0.8,0.84,0.8211731738088139,0.8,0.84,0.8212124181087169,0.8,0.84,0.9947165933578652,0.99,1.0,0.9947166008174708,0.99,1.0,0.994718005253017,0.99,1.0,Original,Moment,x1-y2-z0
moment_0_2_2,0.9075686043610935,0.89,0.92,0.907568950813905,0.89,0.92,0.907708444583824,0.89,0.92,0.997522128795494,1.0,1.0,0.9975221390036249,1.0,1.0,0.9975262485305,1.0,1.0,Original,Moment,x2-y2-z0
moment_0_2_3,0.90211977709057,0.89,0.92,0.902119757153872,0.89,0.92,0.902112223551291,0.89,0.92,0.997360637068476,1.0,1.0,0.9973606364741217,1.0,1.0,0.997360411879973,1.0,1.0,Original,Moment,x3-y2-z0
moment_0_3_0,0.6375036526444882,0.6,0.68,0.637520391760191,0.6,0.68,0.6387296800023206,0.6,0.68,0.986320967970948,0.98,0.99,0.986321945228102,0.98,0.99,0.986392415056819,0.98,0.99,Original,Moment,x0-y3-z0
moment_0_3_1,0.875929405708875,0.86,0.89,0.8759298064316241,0.86,0.89,0.8760458138630788,0.86,0.89,0.9965571499413568,1.0,1.0,0.9965571625923948,1.0,1.0,0.9965608245377257,1.0,1.0,Original,Moment,x1-y3-z0
moment_0_3_2,0.8217947390703855,0.8,0.85,0.8217955320845746,0.8,0.85,0.8219454961874577,0.8,0.85,0.9947388294734434,0.99,1.0,0.9947388578126783,0.99,1.0,0.9947442159910508,0.99,1.0,Original,Moment,x2-y3-z0
moment_0_3_3,0.8390191984625214,0.82,0.86,0.8390194717434303,0.82,0.86,0.8390778728846404,0.82,0.86,0.9953420941969828,0.99,1.0,0.995342103577488,0.99,1.0,0.9953441080901037,0.99,1.0,Original,Moment,x3-y3-z0
moment_1_0_0,0.0015591124624152,-0.0,0.01,0.0015795084530228,-0.0,0.01,0.0015808324657165,-0.0,0.01,0.0601710722162555,-0.1,0.21,0.060911441128035,-0.1,0.21,0.0609594631563696,-0.1,0.21,Original,Moment,x0-y0-z1
moment_1_0_1,0.8650045645643188,0.85,0.88,0.8650052106825993,0.85,0.88,0.865174988426087,0.85,0.88,0.9962080128346936,1.0,1.0,0.9962080337368514,1.0,1.0,0.9962135250561158,1.0,1.0,Original,Moment,x1-y0-z1
moment_1_0_2,0.8730118382022656,0.85,0.89,0.8730118843604798,0.85,0.89,0.8730248949281468,0.85,0.89,0.9964647414322524,1.0,1.0,0.9964647428989776,1.0,1.0,0.996465156317242,1.0,1.0,Original,Moment,x2-y0-z1
moment_1_0_3,0.8657097010505954,0.85,0.88,0.8657104022872116,0.85,0.88,0.8658957850828105,0.85,0.88,0.9962308062101768,1.0,1.0,0.9962308288595272,1.0,1.0,0.9962368153165996,1.0,1.0,Original,Moment,x3-y0-z1
moment_1_1_0,0.3751255441826862,0.34,0.42,0.3751320405785488,0.34,0.42,0.3752920084930163,0.34,0.42,0.9609576003767948,0.95,0.97,0.9609586401455156,0.95,0.97,0.9609842328692229,0.95,0.97,Original,Moment,x0-y1-z1
moment_1_1_1,0.5213496611167994,0.48,0.56,0.5213504435855246,0.48,0.56,0.5213853890913225,0.48,0.56,0.9780978019687618,0.97,0.98,0.9780978691408554,0.97,0.98,0.9781008688892354,0.97,0.98,Original,Moment,x1-y1-z1
moment_1_1_2,0.3145206493429937,0.28,0.35,0.3145205691187816,0.28,0.35,0.3145190599357667,0.28,0.35,0.9495259454775816,0.94,0.96,0.9495259276440624,0.94,0.96,0.9495255921571886,0.94,0.96,Original,Moment,x2-y1-z1
moment_1_1_3,0.0903751710043993,0.08,0.11,0.0903635862637477,0.08,0.11,0.0903164261753694,0.08,0.11,0.8028984873701909,0.77,0.83,0.8028761840723698,0.77,0.83,0.802785343772011,0.77,0.83,Original,Moment,x3-y1-z1
moment_1_2_0,0.2119724799912368,0.18,0.24,0.211996990045896,0.18,0.24,0.2122676790556596,0.19,0.24,0.9168650807007312,0.9,0.93,0.9168762639346704,0.9,0.93,0.9169996178915344,0.9,0.93,Original,Moment,x0-y2-z1
moment_1_2_1,0.7413095434915767,0.71,0.77,0.7413105758112583,0.71,0.77,0.741431883663869,0.71,0.77,0.991560510413007,0.99,0.99,0.991560555460334,0.99,0.99,0.9915658481253392,0.99,0.99,Original,Moment,x1-y2-z1
