,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_0_0_1,-0.0012327305455199,-0.0,0.0,-0.0012656328178491,-0.0,0.0,-0.0012639298843316,-0.0,0.0,-0.0531633981588816,-0.23,0.11,-0.0546580251472196,-0.23,0.11,-0.0545805655749541,-0.23,0.11,Original,Moment,x1-y0-z0
moment_0_0_2,0.9987526116321244,1.0,1.0,0.9987526116285302,1.0,1.0,0.9987524936391872,1.0,1.0,0.999969538823303,1.0,1.0,0.9999695388232152,1.0,1.0,0.9999695359384088,1.0,1.0,Original,Moment,x2-y0-z0
moment_0_0_3,0.9990309195478482,1.0,1.0,0.9990309195694992,1.0,1.0,0.9990318346897504,1.0,1.0,0.9999763415236382,1.0,1.0,0.9999763415241676,1.0,1.0,0.999976363886418,1.0,1.0,Original,Moment,x3-y0-z0
moment_0_1_0,-0.0011845508424107,-0.0,0.0,-0.001218878523363,-0.0,0.0,-0.0012171674662029,-0.0,0.0,-0.0509822260935228,-0.23,0.11,-0.0525353897912055,-0.23,0.11,-0.052457866449892,-0.23,0.11,Original,Moment,x0-y1-z0
moment_0_1_1,0.9833686749859072,0.98,0.99,0.9833687235321534,0.98,0.99,0.9834864247699698,0.98,0.99,0.9995876675509004,1.0,1.0,0.9995876687743352,1.0,1.0,0.9995906346673482,1.0,1.0,Original,Moment,x1-y1-z0
moment_0_1_2,0.9804999994364292,0.98,0.98,0.9805000279954506,0.98,0.98,0.9805589077835868,0.98,0.98,0.9995151665695052,1.0,1.0,0.999515167293346,1.0,1.0,0.999516659539637,1.0,1.0,Original,Moment,x2-y1-z0
moment_0_1_3,0.9871069416169738,0.98,0.99,0.987106959163674,0.98,0.99,0.987162041431134,0.99,0.99,0.9996815292472347,1.0,1.0,0.9996815296861764,1.0,1.0,0.9996829075275656,1.0,1.0,Original,Moment,x3-y1-z0
moment_0_2_0,0.8487018866592205,0.83,0.87,0.8487177826466495,0.83,0.87,0.8523895569250595,0.83,0.87,0.9956707741035302,0.99,1.0,0.9956713077049008,0.99,1.0,0.9957940449054276,1.0,1.0,Original,Moment,x0-y2-z0
moment_0_2_1,0.955979808301922,0.95,0.96,0.9559801495701588,0.95,0.96,0.9562841083795548,0.95,0.96,0.9988781575490764,1.0,1.0,0.9988781666364726,1.0,1.0,0.9988862580355898,1.0,1.0,Original,Moment,x1-y2-z0
moment_0_2_2,0.9816383882804464,0.98,0.98,0.9816384299589996,0.98,0.98,0.9817297944971056,0.98,0.98,0.9995439868990362,1.0,1.0,0.9995439879530096,1.0,1.0,0.999546298182423,1.0,1.0,Original,Moment,x2-y2-z0
moment_0_2_3,0.978561206093298,0.98,0.98,0.978561236268898,0.98,0.98,0.9786177107815884,0.98,0.98,0.9994659320782696,1.0,1.0,0.9994659328460412,1.0,1.0,0.99946736967202,1.0,1.0,Original,Moment,x3-y2-z0
