,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_0_0_1,0.0249941547166597,0.02,0.03,0.0249941547151577,0.02,0.03,0.024994154713579,0.02,0.03,0.512440078840639,0.43,0.59,0.5124400788252399,0.43,0.59,0.5124400788090552,0.43,0.59,Original,Moment,x1-y0-z0
moment_0_0_2,0.9964439676981064,1.0,1.0,0.9964439679229676,1.0,1.0,0.9964465512933866,1.0,1.0,0.999912965556253,1.0,1.0,0.9999129655617756,1.0,1.0,0.99991302901013,1.0,1.0,Original,Moment,x2-y0-z0
moment_0_0_3,0.9976182587292264,1.0,1.0,0.997618258789688,1.0,1.0,0.9976192971138572,1.0,1.0,0.9999417734513724,1.0,1.0,0.999941773452854,1.0,1.0,0.9999417988959122,1.0,1.0,Original,Moment,x3-y0-z0
moment_0_1_0,0.0249870847812271,0.02,0.03,0.0249870847820167,0.02,0.03,0.0249870847828464,0.02,0.03,0.5123675848041537,0.43,0.59,0.5123675848122518,0.43,0.59,0.5123675848207606,0.43,0.59,Original,Moment,x0-y1-z0
moment_0_1_1,0.7871094258091327,0.76,0.81,0.787108913761576,0.76,0.81,0.7870313016093206,0.76,0.81,0.9934463704205022,0.99,0.99,0.993446350525438,0.99,0.99,0.9934433346975478,0.99,0.99,Original,Moment,x1-y1-z0
moment_0_1_2,0.8496909656046869,0.83,0.87,0.849690787648789,0.83,0.87,0.8496495445786477,0.83,0.87,0.9957039388679578,0.99,1.0,0.9957039329076722,0.99,1.0,0.9957025514860988,0.99,1.0,Original,Moment,x2-y1-z0
moment_0_1_3,0.5345501138974108,0.49,0.58,0.5345513464701221,0.49,0.58,0.5346093908345246,0.49,0.58,0.9792042806112302,0.98,0.98,0.9792043814894684,0.98,0.98,0.9792091315483707,0.98,0.98,Original,Moment,x3-y1-z0
moment_0_2_0,0.9039627132220206,0.89,0.92,0.9039624787860504,0.89,0.92,0.9038720149160486,0.89,0.92,0.9974154698188884,1.0,1.0,0.9974154628575674,1.0,1.0,0.9974127763690716,1.0,1.0,Original,Moment,x0-y2-z0
moment_0_2_1,0.6619051252398738,0.63,0.7,0.6619069274134068,0.63,0.7,0.6620516158175639,0.63,0.7,0.9876949937357776,0.99,0.99,0.9876950916094374,0.99,0.99,0.9877029477697868,0.99,0.99,Original,Moment,x1-y2-z0
moment_0_2_2,0.9850967596712183,0.98,0.99,0.9850967588733373,0.98,0.99,0.9850945965568192,0.98,0.99,0.999631143249741,1.0,1.0,0.999631143229702,1.0,1.0,0.999631088922414,1.0,1.0,Original,Moment,x2-y2-z0
moment_0_2_3,0.972746029108674,0.97,0.98,0.9727460330206756,0.97,0.98,0.972751757752376,0.97,0.98,0.999317111516954,1.0,1.0,0.9993171116176524,1.0,1.0,0.9993172589765964,1.0,1.0,Original,Moment,x3-y2-z0
moment_0_3_0,0.2853724033440797,0.25,0.32,0.2853599618704786,0.25,0.32,0.2851564175232485,0.25,0.32,0.942437891629843,0.93,0.95,0.94243458194297,0.93,0.95,0.942380397269777,0.93,0.95,Original,Moment,x0-y3-z0
moment_0_3_1,0.3961778949754695,0.36,0.44,0.396178559799512,0.36,0.44,0.3961964449311045,0.36,0.44,0.9641587253137004,0.96,0.97,0.9641588213507404,0.96,0.97,0.9641614048304906,0.96,0.97,Original,Moment,x1-y3-z0
moment_0_3_2,0.2086508574322383,0.18,0.24,0.2086409821380082,0.18,0.24,0.2085342873421402,0.18,0.24,0.9153278152641424,0.9,0.93,0.9153231797542106,0.9,0.93,0.9152730717119152,0.9,0.93,Original,Moment,x2-y3-z0
moment_0_3_3,0.0285469273546315,0.02,0.04,0.028550351272561,0.02,0.04,0.028554477561116,0.02,0.04,0.5464477979233,0.47,0.62,0.5464783957331366,0.47,0.62,0.546515265072712,0.47,0.62,Original,Moment,x3-y3-z0
moment_1_0_0,0.0249919795325616,0.02,0.03,0.0249919795331911,0.02,0.03,0.0249919795338527,0.02,0.03,0.5124177770194223,0.43,0.59,0.5124177770258767,0.43,0.59,0.5124177770326598,0.43,0.59,Original,Moment,x0-y0-z1
