,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
moment_0_0_1,0.0033722685393592,-0.0,0.01,0.0033767965640042,-0.0,0.01,0.0033774257013637,-0.0,0.01,0.1218293577070907,-0.03,0.26,0.1219734747119028,-0.03,0.26,0.1219934951228309,-0.03,0.26,Original,Moment,x1-y0-z0
moment_0_0_2,0.9915167804150236,0.99,0.99,0.9915167839498372,0.99,0.99,0.9915337233165308,0.99,0.99,0.9997913654809144,1.0,1.0,0.9997913655685744,1.0,1.0,0.9997917856415072,1.0,1.0,Original,Moment,x2-y0-z0
moment_0_0_3,0.9719426665441152,0.97,0.98,0.9719426779887168,0.97,0.98,0.9719589329543976,0.97,0.98,0.9992964155713904,1.0,1.0,0.9992964158664596,1.0,1.0,0.9992968349518044,1.0,1.0,Original,Moment,x3-y0-z0
moment_0_1_0,0.0029290715285162,-0.0,0.01,0.0029365118758453,-0.0,0.01,0.0029374105777603,-0.0,0.01,0.1074972475781646,-0.04,0.25,0.107741606615677,-0.04,0.25,0.1077711133544064,-0.04,0.25,Original,Moment,x0-y1-z0
moment_0_1_1,0.9663560214294936,0.96,0.97,0.9663561334237064,0.96,0.97,0.9664880406461592,0.96,0.97,0.9991515666964428,1.0,1.0,0.9991515696165588,1.0,1.0,0.9991550084827044,1.0,1.0,Original,Moment,x1-y1-z0
moment_0_1_2,0.954546374460156,0.95,0.96,0.9545464552099882,0.95,0.96,0.9546159873600232,0.95,0.96,0.9988399317601248,1.0,1.0,0.9988399339166546,1.0,1.0,0.9988417907316344,1.0,1.0,Original,Moment,x2-y1-z0
moment_0_1_3,0.964092750991065,0.96,0.97,0.964092820545972,0.96,0.97,0.9641693948113,0.96,0.97,0.9990924195690204,1.0,1.0,0.999092421390891,1.0,1.0,0.9990944269662848,1.0,1.0,Original,Moment,x3-y1-z0
moment_0_2_0,0.9361698028404,0.93,0.95,0.936170014364504,0.93,0.95,0.9362972272994544,0.93,0.95,0.9983397783364872,1.0,1.0,0.998339784203586,1.0,1.0,0.9983433122739908,1.0,1.0,Original,Moment,x0-y2-z0
moment_0_2_1,0.8827534479419272,0.87,0.9,0.8827538205082542,0.87,0.9,0.8828688432108626,0.87,0.9,0.9967709692449008,1.0,1.0,0.9967709808308464,1.0,1.0,0.9967745573144992,1.0,1.0,Original,Moment,x1-y2-z0
moment_0_2_2,0.946697202463184,0.94,0.95,0.9466974476500664,0.94,0.95,0.9468760241083763,0.94,0.95,0.9986286160595684,1.0,1.0,0.998628622713818,1.0,1.0,0.9986334682980692,1.0,1.0,Original,Moment,x2-y2-z0
moment_0_2_3,0.8593046614430653,0.84,0.88,0.859305088529752,0.84,0.88,0.8594120485852329,0.84,0.88,0.9960224302581608,1.0,1.0,0.9960224442532564,1.0,1.0,0.9960259487746784,1.0,1.0,Original,Moment,x3-y2-z0
moment_0_3_0,0.7423849504281922,0.71,0.77,0.7423838283985204,0.71,0.77,0.7422512820022068,0.71,0.77,0.9916073722377516,0.99,0.99,0.9916073234127468,0.99,0.99,0.9916015546652076,0.99,0.99,Original,Moment,x0-y3-z0
moment_0_3_1,0.929673995777212,0.92,0.94,0.9296742757927636,0.92,0.94,0.9298260688068763,0.92,0.94,0.9981583764579884,1.0,1.0,0.998158384330906,1.0,1.0,0.9981626514638208,1.0,1.0,Original,Moment,x1-y3-z0
moment_0_3_2,0.8750334763674192,0.86,0.89,0.8750338078015701,0.86,0.89,0.8751289689083595,0.86,0.89,0.9965288367901338,1.0,1.0,0.9965288472745352,1.0,1.0,0.996531857228107,1.0,1.0,Original,Moment,x2-y3-z0
moment_0_3_3,0.9064679594352816,0.89,0.92,0.9064682332301262,0.89,0.92,0.9065770393765868,0.89,0.92,0.9974896602825334,1.0,1.0,0.9974896683688952,1.0,1.0,0.99749288151504,1.0,1.0,Original,Moment,x3-y3-z0
moment_1_0_0,0.003009412087593,-0.0,0.01,0.003016042126056,-0.0,0.01,0.0030168646805451,-0.0,0.01,0.1101289587991462,-0.04,0.25,0.1103454644056346,-0.04,0.25,0.110372317988389,-0.04,0.25,Original,Moment,x0-y0-z1
moment_1_0_1,0.5425361624798263,0.5,0.58,0.5425323053810367,0.5,0.58,0.5423448217533927,0.5,0.58,0.9798486921290924,0.98,0.98,0.9798483852689308,0.98,0.98,0.979833464557224,0.98,0.98,Original,Moment,x1-y0-z1
