,,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral
,,Original,LoG (sigma=1mm),LoG (sigma=2mm),LoG (sigma=3mm),LoG (sigma=4mm),LoG (sigma=5mm),Wavelet (LLL),Wavelet (HLL),Wavelet (LHL),Wavelet (LLH),Wavelet (LHH),Wavelet (HLH),Wavelet (HHL),Wavelet (HHH),Original,LoG (sigma=1mm),LoG (sigma=2mm),LoG (sigma=3mm),LoG (sigma=4mm),LoG (sigma=5mm),Wavelet (LLL),Wavelet (HLL),Wavelet (LHL),Wavelet (LLH),Wavelet (LHH),Wavelet (HLH),Wavelet (HHL),Wavelet (HHH),Original,LoG (sigma=1mm),LoG (sigma=2mm),LoG (sigma=3mm),LoG (sigma=4mm),LoG (sigma=5mm),Wavelet (LLL),Wavelet (HLL),Wavelet (LHL),Wavelet (LLH),Wavelet (LHH),Wavelet (HLH),Wavelet (HHL),Wavelet (HHH),Original,LoG (sigma=1mm),LoG (sigma=2mm),LoG (sigma=3mm),LoG (sigma=4mm),LoG (sigma=5mm),Wavelet (LLL),Wavelet (HLL),Wavelet (LHL),Wavelet (LLH),Wavelet (LHH),Wavelet (HLH),Wavelet (HHL),Wavelet (HHH),Original,LoG (sigma=1mm),LoG (sigma=2mm),LoG (sigma=3mm),LoG (sigma=4mm),LoG (sigma=5mm),Wavelet (LLL),Wavelet (HLL),Wavelet (LHL),Wavelet (LLH),Wavelet (LHH),Wavelet (HLH),Wavelet (HHL),Wavelet (HHH)
Class,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngtdm,Contrast,0.4785484718422346,,,,,,0.11447340643682946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06417538590320693,,,,,,,
glrlm,LongRunLowGrayLevelEmphasis,0.44617548571232823,,,,,,0.26974043221619826,,,,,,,,0.31719035131133644,,,0.26049789880897023,0.1140590410132638,,0.3388054437503144,,,,,,,,,,,,,,,,,,,,,,0.11300386465145851,,,0.1946480832777947,0.18651681396234032,0.1557818592790048,0.11097214016424661,,,,,,,,0.0760908692766088,,,0.17160305553367483,0.22802412254373627,0.16816800575094593,0.0694851796711865,,,,,,,
firstorder,Maximum,0.3687940218595024,,,,,,0.20947719206152782,,,0.14288836002055016,,,,,,,,0.13477287586868036,0.16090693363047992,0.1392810854780251,,,,,,,,,0.26044569635638315,,,,,,0.22173689545403696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22489906659857806,,
gldm,DependenceNonUniformityNormalized,0.34555208456569053,,,,0.06664508115473822,0.06155726333067757,0.1707044392756174,,,,,,,,0.37978621500314913,,,0.4349660274860778,0.3233205907422252,0.20885220232232804,0.46871006780169955,,,0.49627302899091236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,DependenceVariance,0.29892455902868287,,,,,,0.27704687253715454,,,,,,,,0.19368456997104178,0.16322068670419299,0.320183843520513,0.22879545125637135,0.09552100438948175,,0.1511415285986366,,,0.428376417810183,,,,,,0.13989781587564765,,,,,,,,0.22776554788631198,,0.40255052497197163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm,ClusterTendency,0.19536812987290053,,,,,,0.09056694769804763,,,,,,,,,,,0.091284216386185,0.09294755311682845,0.09539770790771063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03910003316986477,,,0.05729473325562129,,,,,,,,,0.027315881163731404,,0.04143019369298173,,,,,,,
glcm,SumSquares,0.19318975938702665,,,,,,0.08747663394990035,,,,,,,,,,,0.06540972093154829,0.07281081292161218,0.08430585307301963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04358017916408574,,,,,,,,0.010538087623209513,,,,,,0.04518472059082124,,,,,,,
gldm,DependenceEntropy,0.18093345830577423,,,,,,0.12920926554002554,,,,,,,,0.15703882057136953,,,0.20300235112359433,0.1609132156577402,0.10567187392109023,0.19580629397800753,,,0.14086401704973095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,GrayLevelVariance,0.17926218657805792,,,,,,0.08458337835193341,,,,,,,,,,,0.07671890713587015,0.07637071524614636,0.08326728645776871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047065705630949584,,,0.043963688724979244,,,,,0.00827634581621639,,,,,,0.0440034221430714,,,,,,,
glcm,Imc1,0.17710528734276232,,,0.044377702642858896,,,0.15031656327352227,,,,,,,,,,,0.09263781540127902,,,0.09101199162038975,,,0.25651473922620205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,DependenceNonUniformity,0.17370450702555262,,0.20751716431739609,0.09740580269228549,,,0.09492699612376265,,,0.2779634791004211,,,,,0.36163205976421575,0.3342211669176125,0.39372602836090964,0.29713217253048774,0.1796130639512894,0.10332719691181769,0.37430559718307654,,0.13600263090840825,0.3980743425678851,0.09205474947032466,0.3007300420596034,,0.11803099361354463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm,GrayLevelNonUniformity,0.16532737031732914,,,,,,0.04282960791854551,,,,,,,0.5410987114278218,0.06026193746812858,,,,,,0.07978693527049585,,,0.37082265120403934,,0.11195908399714627,,0.09598641486628623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030624095908967752,,,,,,,,
gldm,LargeDependenceLowGrayLevelEmphasis,0.1567636888823417,,,,,,0.10339041489134015,,,,,,,,0.13666273461493117,,,0.22184315876887473,0.10482770142380071,,0.1368771565341843,,,,,,,,,,,,,,,,,,,,,,0.08553792661096471,,,0.11414885591658686,0.10696614723067221,,0.08661746560853945,,,,,,,,,,0.04704067698685788,0.12656830699799126,0.16374368586676658,0.10873241951452717,,,,,,,,
firstorder,Range,0.15620835364253105,,,,,,0.06232354999528278,,,,,,,,,,,,0.08690783357377352,0.0917276351538735,,,,,,,,,,,,,,,,,,,0.15619274178551512,,,,,,,,,,,,,,,0.17292179160720345,,,,,,,,,,,,,,0.19738374389688274,,
glcm,Imc2,0.14745404830966757,,0.04713493406332259,,,,0.1621776340133083,,,0.08182000796884559,,,,,,,,,,,0.09056346083627331,,,,,,,0.47269486139719524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,RunEntropy,0.13366533417907578,,,,,,,,,,,,,,0.17826040888526062,,,0.21829654227892126,0.08361616540081296,,0.16701208129510137,,,0.45471141330934406,,,,,,,,,,,,,,,,,,,,,,,,,0.09634985573320454,,,,,,,,,,,,0.02225230586875715,,0.09380109975774686,,,0.06273699513499398,,,,
glszm,ZonePercentage,0.12703957156118362,,,,,,,,,,,,,,0.10903187870807973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057188247502773404,,,,,,0.06557387545385951,,,0.05820082197892096,,,,,,,,,,,0.0770215735547235,,,,,,,
gldm,SmallDependenceHighGrayLevelEmphasis,0.11533547911403319,,,,,,0.09650690718178645,,,,,,,,0.14394939711082888,,,0.06087212177923296,,,,,,,,,,,0.15406069495953323,,,,,,0.12316037177073214,,,,,,,,,,,,,,,,,0.06618869880075018,,,,,0.04679184419218185,,,,,,0.03970503515546053,,,0.034459896237762355,,,,
glrlm,GrayLevelVariance,0.10168152459684332,,,,,,,,,,,,,,,,,0.15600691656357923,0.13810942319445796,0.12695551541490058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04611337012450878,,,,,,,,,0.01331433663838577,,,,,,,,,
ngtdm,Strength,0.08507138716467044,0.20006025032831587,,,,,0.09167442016404093,,,,0.3260903649140712,0.4947806450541201,,0.5323680198179461,,0.1531796778610377,0.07136886884171678,,,,,,,,0.10412941752825988,0.22156836613684905,0.1620716637227465,0.1313166431186411,,,,,,,,,,,0.03303181174061853,0.035506243614585986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm,ClusterProminence,0.08366641979756362,,,,,,0.07106195022619699,,,,,,,,,,,0.197651603779324,0.1504033704812765,0.1319175836116091,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02428752001990553,,,,,0.0659774563373472,,,,,,,,,,0.012617695486709435,,,,,,,,
gldm,LargeDependenceEmphasis,0.077746728041726,,,,,,0.02092908030908902,,,,,,,,0.15399943398210958,0.12791214311021593,0.17011985214574632,0.11890945598254232,,,0.10627681889471097,,,0.23993967963871798,0.11833309643572121,0.16208365891933718,,,0.08076560162748347,,,,,,,,,0.13719507129558917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm,DifferenceAverage,0.07095536394175683,,,,,,,,,,,,,,0.12262095949592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10190829342774377,,,,,,,,,,,,,,0.08306377706075219,,,,,,,
glcm,Id,0.06780022393150953,,,,,,0.012402779298516964,,,,,,,,0.12882148711901487,,,,,,,,,0.08304868727692105,,,,,,,,,,,,,,,,,,,,,,,,,0.07270668944120073,,,,,,,,,,,,,,,,,,,,,
glcm,Idn,0.06697341756759378,,,,,,,,,,,,,,0.12338020314107245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09627428133089266,,,,,,,,,,,,,,0.07748670080187181,,,,,,,
